url,Location,Contact Person,Country/Region,Nature of Business,Year of Establishment,Main Categories,Office Address,Major Markets,Total Employees,Annual Turnover,Position,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/viharbour-HK-Enterprise-Limited/1S00OP84G,Hong Kong View details Factory & Facility,Mr Eric Li,Hong Kong,,,,,,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Union-World-Hong-Kong-Development-Ltd/1X09CI8A,Hong Kong,Mr wego yang,Hong Kong,"Exporter, Manufacturer",2009,"Educational Toys, Gifts / Souvenirs, Toy Vehicles ODM OEM 1C-F20 1E-D23","Room 2302, 23/F Seaview Commercial Building 21 Connaught Road West Sheung Wan, Hong Kong",,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningde-Guoxin-Trade-Co-Ltd/1X00F3BG,"Ningde, Fujian, Chinese Mainland",Mr Chaobin Lin,Chinese Mainland,"Exporter, Manufacturer",2006,"Dolls, Educational Toys, Gambling Games, Game Tables, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Toy Sporting Goods","11/F, Bldg 1, Dong Sheng, Tai Li Yuan No. 68 Jiao Cheng South Road China","Eastern Europe, Japan, North America, Western Europe",16 - 25,"US$ 5,000,000 - 9,999,999 ODM OEM",General Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nanjing-Grand-Step-Imp-Exp-Co-Ltd/1X0AAIA8,"Nanjing, Jiangsu, Chinese Mainland",Ms Gina Ho,Chinese Mainland,"Exporter, Manufacturer",,Ride-On Toys,"Room 819, Block 2, Chengji Mansion, No.128 Tianyuan Zhong Road, Jiangning District, Nanjing City, Jiangsu Province, China",,,,Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hengjiang-Art-Ceramics-Factory/1X03W47H,"Shenzhen, Guangdong, Chinese Mainland",Mr Sam Chan,Chinese Mainland,"Exporter, Manufacturer",2000,"Baby Toys, Educational Toys, Gifts, Toys & Sports Supplies","Flat D, 18/F., South Tower, Huali Garden, No. 2 TianBei 1 Rd, Shenzhen 518020, China",Worldwide ODM OEM,,,Director,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Artkids-Toys-Factory-Ltd/1X03W53I,"Guangzhou, Guangdong, Chinese Mainland",Ms Maggie Lin,Chinese Mainland,"Exporter, Manufacturer",1999,Educational Toys,"Unit C & D, 18th Floor, No. 23 Huajiu Road, Zhujiang New Distric, Guangzhou, China","Central & South America, Eastern Europe, North America, Western Europe View details Factory & Facility",,,Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yidafeng-Industrial-Co-Ltd-/1X00QFP2,Hong Kong,Ms Chan Alice,Hong Kong,Manufacturer,,"Baby Toys, Bubble Guns & Water Guns, Educational Toys, Gifts, Toys & Sports Supplies, Health, Beauty and Baby Care, Toy Sporting Goods, Toy Vehicles","Msc 2628, Rm 1007, 10/F, Ho King Commercial Centre, 2-16 Fa Yuen Street, Mongkok, Hong Kong.","Central & South America, Japan, Korea, Middle East, North America, Scandinavia, Taiwan, Western Europe, Worldwide",101 - 200 ODM OEM,,Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yau-Ka-Toys-Ltd/1X04ZY7Z,Hong Kong,Miss Chacha Choi,Hong Kong,Manufacturer,2007,"Action Figures, Baby Toys, Educational Toys, Gifts, Toys & Sports Supplies, Play Tents, Houses & Tunnels, Toy Vehicles","13/F, Max Commercial Centre, 138-140 Portland Street, Mongkok, Kowloon, Hong Kong","Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Scandinavia, Southeast Asia, Taiwan, Worldwide",201 - 500,"US$ 5,000,000 - 9,999,999 Certificate Name Issued By Certificate Type Valid Date DECLARATION OF CONFORMITY MEISHENG Others 19 Dec 2024 - (N/A) DECLARATION OF CONFORMITY LEZUAN Others 19 Dec 2024 - (N/A) EN71 BV Others 10 Jun 2022 - (N/A) EN71 SPG Others 02 Feb 2024 - (N/A) View details Factory & Facility MS933 LZ06 8804B 8826",Manager of Department of Trade,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wellmax-Trading-Ltd/1X000XLO,Hong Kong,Mr Andrew Chan,Hong Kong,Exporter,1993,"Arts & Crafts, Baby Care & Nursery, Baby Toys, Bags, Handbags & Accessories, Beach Toys, Bubble Guns & Water Guns, Building Materials & Supplies, Clothing/ Garments, Consumer Electronics, Dolls, Educational Toys, Environmental Protection, Festive Supplies, Furniture & Parts, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Hardwares (Tools & Parts), Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Packaging & Displaying Materials, Party Supplies, Personal Care, Shoes & Accessories, Sports Supplies, Stationery, Toy Sporting Goods, Toy Vehicles","2nd Floor, Manley Tower, 828 Cheung Sha Wan Road, Kowloon, Hong Kong.","Central & South America, Eastern Europe, Japan",51 - 100,"US$ 5,000,000 - 9,999,999",Managing Director,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Vibo-Enterprise-Co-Ltd/1X000CPB,Hong Kong,Mr Herman Ko,Hong Kong,Manufacturer,1994,"Art & Collectibles, Arts & Crafts, Gambling Games, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Toy Sporting Goods","Flat V, 11/F, Everest Industrial Centre, 396 Kwun Tong Road, Kwun Tong, Kowloon, Hong Kong","Central & South America, Chinese Mainland, North America, Southeast Asia, Worldwide",501 - 1000,"US$ 1,000,000 - 4,999,999",Manager,Vibo Toys ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001:2000 - - - 玩具出口認可證 - - - FCCA - - - Disney FAMA - - - BRC - - - Show More View details Factory & Facility Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Toymates-Development-Co-Ltd/1X0AZD0X,Hong Kong,Miss Tracy Chan,Hong Kong,"Exporter, Manufacturer",1992,"Baby Care & Nursery, Baby Toys, Beach Toys, Gifts / Souvenirs, Gifts, Toys & Sports Supplies","Unit 17, 4/F, Blk B, Hi-Tech Ind Ctr, 491-501 Castle Peak Rd - Tsuen Wan, Tsuen Wan, New Territories, Hong Kong","Australasia, Central & South America, Japan, Korea, North America, Western Europe",11 - 15,"US$ 1,000,000 - 4,999,999",Manager,nil Certificate Name Issued By Certificate Type Valid Date BSCI Amfori Social Audit - (N/A) - 13 Jan 2022 View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanghai-Sunny-Sky-Co-Ltd/1X07O1LC,"Shanghai Shi, Shanghai, Chinese Mainland",Mr Freda,Chinese Mainland,"Exporter, Manufacturer",,"Dolls, Educational Toys, Festive Supplies, Gifts / Souvenirs, Party Supplies","Room 1403, No. 1 Building, Lane 539 Xinjian East Road, 201100 Shanghai, China China.","Western Europe ODM OEM Certificate Name Issued By Certificate Type Valid Date ICTI, ISO9001 - - -",,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Toto-Toys-Ltd/1X000W93,Hong Kong,Ms Christina Poon,Hong Kong,"Exporter, Manufacturer",1998,"Baby Toys, Educational Toys, Gifts, Toys & Sports Supplies, Toy Vehicles","Flat A1, 2/F., Tonic Industrial Centre, 26 Kai Cheung Road, Kowloon Bay, HK.","Japan, North America, Western Europe",6 - 10,,Marketing Manager,TOTO View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Synergy-Trading-Company-Limited/1X07NKSK,Hong Kong,Mr Tony Xu,Hong Kong,"Export Agent, Exporter, Manufacturer, Wholesaler",2009,"Ride-On Toys, Sports Supplies","RM 2, 5/F, Winful Centre, 30 Shing Yip St, Kwun Tong, Kln, Hongkong China",Worldwide,51 - 100,"US$ 10,000,000 - 49,999,999",Sales Director,"kick'n'roll, MAXXPRO ODM OEM Kids Scooter Kick Scooter Balance Bike Stunt Scooter Kids Bike"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SIMPLIFUN-TOYS-IND-L-CO/1X08AFK7,Hong Kong,Mr Eric Kui Man Tung,Hong Kong,Exporter,2000,Gifts / Souvenirs,"Unit 1, 13/F New Treasure Centre 10 Ng Fong Street San Po Kong, Kowloon, Hong Kong","Australasia, Hong Kong, Japan, North America, Western Europe",201 - 500,"US$ 1,000,000 - 4,999,999",,"softoys, haiboon ODM OEM Certificate Name Issued By Certificate Type Valid Date Children's Product Certificate Guangzhou Depuhua Test Services Co.,Ltd. - -"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SGS-HK-Ltd/1X000V69,Hong Kong,Mr Steven Du,Hong Kong,Service Company,1959,"Business Research, Management, Consultancy & General Services, Professional Services, Quality Inspection, Compliance & Testing Service","Units 303 & 305, 3/F, Building 22E Phase 3, Hong Kong Science Park Pak Shek Kok, New Territories Hong Kong",Worldwide,1001 - 2000,,Managing Director,SGS Testing Inspection Certification Sustainability Verification Certificate Name Issued By Certificate Type Valid Date HOKLAS HOKLAS Others 01 Jun 2020 - (N/A)
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Poly-Winner-Asia-Ltd/1X064O8S,Hong Kong,Mr Wilson Yeung,Hong Kong,"Exporter, Importer, Manufacturer",2003,Toy Vehicles,"Room 814., 8/F, Kwai Cheong Centre No.50 Kwai Cheong Road Kwai Chung N.T., Hong Kong",Worldwide,1 - 5,"US$ 100,000 - 249,999 ODM OEM",Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Obzeetek-Electronic-Limited/1X0AL5C9,Hong Kong,Mr Eddie Wong,Hong Kong,Exporter,2015,"Baby Toys, Educational Toys, Game Tables, Gifts, Toys & Sports Supplies, Toy Vehicles","Unit 5, 21/F, Max Trade Ctr, 23 Luk Hop St, San Po Kong, Kowloon, Hong Kong","North America, Western Europe",1 - 5,,Sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MWM-TRADING-HK-LIMITED/1X06YAWA,Hong Kong,Ms may chen,Hong Kong,"Export Agent, Exporter, Manufacturer",2009,"Beach Toys, Bubble Guns & Water Guns, Sports Supplies, Toy Sporting Goods","Room 1003, 10/F, Tower1, Lippo Centre, 89 Queensway, Admiralty Central Hong Kong.",Worldwide,1 - 5,"US$ 250,000 - 499,999",,N/M
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mo-Yu-Culture-Communication-Co-Limited/1X0A8WSK,Hong Kong,Mr Joe Wong,Hong Kong,Manufacturer,2006,Educational Toys,"Unit 15, 20/F., Wang Fai Industrial Building, No.29 Luk Hop Street, San Po Kong, Kowloon, Hong Kong","Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Western Europe",201 - 500,"US$ 50,000 - 99,999",Export Director,MoYu View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pinghu-Little-Sun-Childs-Vehicles-Co-Ltd/1X08WTI3,"Jiaxing, Zhejiang, Chinese Mainland",Ms Ping Cao,Chinese Mainland,"Exporter, Manufacturer",2012,"Gifts, Toys & Sports Supplies, Ride-On Toys, Toy Vehicles","No.8 Jinhui Road, Xincang Town, Pinghu City, Zhejiang Provine, China.",Worldwide,101 - 200,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date Patent Certificate for Utility Model National Intellectual Property Office Patent - Patent Certificate for Utility Model-2 National Intellectual Property Office Patent - Patent Certificate for Design National Intellectual Property Office Patent - Patent Certificate for Design-2 National Intellectual Property Office Patent - Patent Certificate for Design-3 National Intellectual Property Office Patent - Show More View details Factory & Facility Achievement Award Top Ten Brands of Childs Vehicles Achievement Award Demonstration units of safe construction Standardization for safe production",Sales,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shantou-Xinfei-Toys-Co-Ltd-/1S00OG30X,"Shantou, Guangdong, Chinese Mainland",Ms Kily Huang,Chinese Mainland,"Manufacturer, Wholesaler",2009,Toy Vehicles,"5/F,No.2,Zihong North street, Longhu District, Shantou, Guangdong China","Central & South America, Eastern Europe, North America, Southeast Asia, Western Europe",16 - 25,"US$ 1,000,000 - 4,999,999",Sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Diyitong-Leisure-Product-Co-Ltd/1X0AL8B1,Chinese Mainland,Susie Wu,Chinese Mainland,,,"Gifts, Toys & Sports Supplies, Ride-On Toys, Sports Supplies","Qing Hou Ye Industrial Zone, Gushan Town, Yongkang, Zhejiang, China",,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangsu-Holly-Everlasting-Inc/1X07O4XR,"Nanjing, Jiangsu, Chinese Mainland",Ms Billie Cheng,Chinese Mainland,Manufacturer,1979,"Arts & Crafts, Baby Care & Nursery, Baby Toys, Clothing/ Garments, Fashion Accessories, Fashion, Eyewear & Accessories, Gift Sets, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Plush & Stuffed Toys, Shoes & Accessories, Sports Supplies","17/F Holly Bldg 50 Zhonghua Road Nanjing, China","Central & South America, Eastern Europe, Hong Kong, Japan, Middle East, North America, Other Asian Countries, Southeast Asia",201 - 500,"US$ 1,000,000 - 4,999,999",Manager,artall、KITEMAGIC、HOLLYPET、hollyhome Certificate Name Issued By Certificate Type Valid Date OHSAS18001 - - - OHSA18001-IQNER - - - 省国际商会会员证书 - - - View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Wehand-Toys-Manufacturing-Company-Limited/1X08WUF3,"Xiamen, Fujian, Chinese Mainland",James Zheng,Chinese Mainland,Manufacturer,,"Baby Care & Nursery, Baby Toys, Educational Toys, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Sports Supplies, Video Games & Accessories","No.106 Haifa Road, Haicang Industrial District, Xiamen, Fujian,",,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/XYZ-Technology-Company-Limited/1S00O0LNI,"Shantou, Guangdong, Chinese Mainland",Mr Jerry Huang,Chinese Mainland,"Exporter, Retailer, Wholesaler",2016,"Baby Toys, Educational Toys, Fidget Spinners, Gift Sets, Gifts / Souvenirs, Plush & Stuffed Toys","Room602, Nanyangyua Dezheng Road, Chenghai Distric Chenghai, Shantou Guangdong, China","Australasia, Central & South America, Eastern Europe, Hong Kong, Middle East, North America, Western Europe",6 - 10,"US$ 100,000 - 249,999",Founder,XYZTECH Product development Ideas creation High-performing sourcing team engineering team 3D designers graphic designers OEM ODM
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Thaicolor-Clay-Co-Ltd/1X00MOPB,Thailand,Mr Annop Jittipanyakul,Thailand,Manufacturer,1998,"Arts & Crafts, Educational Toys, Gifts, Toys & Sports Supplies, Stationery","175/1 Moo1, Kaerai, Krathumban, Samutsakorn 74110, Thailand","Eastern Europe, Middle East",101 - 200,"US$ 500,000 - 999,999 ODM OEM View details Factory & Facility",Managing Director,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-City-Huangyan-Jesontoys-Co-Ltd-/1X06YXYB,"Taizhou, Zhejiang, Chinese Mainland",Mr Jianjun Huang,Chinese Mainland,Manufacturer,1993,"Educational Toys, Gifts, Toys & Sports Supplies","Chengjiang Industrial Area, Huangyan, Taizhou, Zhejiang 224113, China China.",Worldwide,101 - 200,"US$ 5,000,000 - 9,999,999",General Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Goddess-Playing-Cards-Co-Ltd-/1X0ASFXU,"Taizhou, Jiangsu, Chinese Mainland",Mr PENG ZHU,Chinese Mainland,Manufacturer,1981,"Educational Toys, Festive Supplies, Gambling Games, Party Supplies, Printed Matters, Wedding Gifts & Accessories","Meiduo Village,Zhangdian Town Jiangsu China",,51 - 100,"US$ 500,000 - 999,999",General Manager,GODDESS
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Quanzhou-Funky-Baby-Proudct-Co-Ltd/1X09WZ9U,"Quanzhou, Fujian, Chinese Mainland",Ms Yuky Yang,Chinese Mainland,"Exporter, Manufacturer",2016,"Baby Care & Nursery, Clothing/ Garments, Dolls, Fashion, Eyewear & Accessories","NO,190 TAOCHANG INDUSTRIAL AREA SHIGU TOWN YONGCHUN QUANZHOU,FUJIAN CHINA",,,,Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Tianlin-Plastic-Co-Ltd/1X051PYZ,"Ningbo, Zhejiang, Chinese Mainland",Ms Max Feng,Chinese Mainland,"Exporter, Manufacturer",,"Beach Toys, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Sports Supplies, Toy Sporting Goods","Haikoo Xidian Ninghai, Ningbo, Zhejiang, 315613, Chiina Chiina.",Worldwide,,,Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/NINGBO-AKK-BABY-PRODUCTS-CO-LTD/1S00O63VC,"Ningbo, Zhejiang, Chinese Mainland",Ms Alice TONG,Chinese Mainland,"Exporter, Manufacturer, Wholesaler",1995,"Automobile Parts & Accessories, Baby Care & Nursery, Baby Toys, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Plush & Stuffed Toys","Room 8-2-2, Building 017, No. 128 Huizhan Road, Yinzhou, Ningbo, Zhejiang, China","Eastern Europe, North America, Other Asian Countries, Scandinavia, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999",,"AKK BABY weaving dyeing printing bleaching cotton stuffing embroidery sewing testing, View details Factory & Facility Research & Development Quality Control"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HUBS-COMPANY-LIMITED/1S00P4A2K,"Pingtung County, Taiwan",Mr Jeffery Zheng,Taiwan,"Exporter, Manufacturer, Wholesaler",,"Educational Toys, Gifts / Souvenirs, Toy Vehicles","5F., No. 173-3, Zhongzhou Rd., Chaozhou Township, Pingtung",Worldwide,,,sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yongkang-Hydo-Sports-Co-Ltd-/1S00OI3W9,"Jinhua, Zhejiang, Chinese Mainland",Mr Jacky Wong,Chinese Mainland,"Manufacturer, Trade/Industrial Organisation",2014,"Ride-On Toys, Sports Supplies",32 Nanyangbei Road Yongkang China,"Central & South America, Eastern Europe, North America, Western Europe",51 - 100,"US$ 1,000,000 - 4,999,999",Sales & Marketing Director,"HYDO, HYDO SPORTS Skateboard manufacturer Kick Scooter Manufacturer Stunt Scooter Manufacturer Balance Bike Manufacturer Certificate Name Issued By Certificate Type Valid Date EN TEST REPORT TUV TÜV SÜD 16 Nov 2020 - (N/A) EN 13613 TEST REPORT Intertek Others 15 Jul 2022 - (N/A) EN TEST REPORT Intertek Others 18 May 2020 - (N/A) EN 13613 TEST REPORT CTT Others 13 Sep 2022 - (N/A) EN71 TEST REPORT TUV TÜV SÜD 01 Dec 2021 - (N/A) View details Factory & Facility"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huamei-Educational-Technology-Co-Ltd/1X005ILX,"Shantou, Guangdong, Chinese Mainland",Mr Run Zhang Cai,Chinese Mainland,"Exporter, Manufacturer",1993,"Action Figures, Arts & Crafts, Darts, Educational Toys, Game Tables, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Stationery","No. 13, Lane 1, Industrial Road, Donghu Industrial Zone, Chenghai District, Shantou City, Guangdong Province, China","Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Southeast Asia, Taiwan, Western Europe",101 - 200,"US$ 1,000,000 - 4,999,999",General Manager,FIRST CLASSROOM ODM OEM
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-EZ-Leisure-Co-Ltd/1S00OIZ6J,"Hangzhou, Zhejiang, Chinese Mainland",Mr james xu,Chinese Mainland,"Exporter, Manufacturer",2007,"Baby Toys, Beach Toys, Educational Toys, Furniture & Parts, Gambling Games, Game Tables, Gifts / Souvenirs, Inflatable Toys, Play Tents, Houses & Tunnels, Playground Equipment, Ride-On Toys, Sports Supplies, Toy Sporting Goods","C403,Shangkun Creative Industry Center ,No.10 Xiyuan Road, No.10 Xiyuan Road,Xihu Area, Hangzhou,Zhejiang, China","Australasia, Eastern Europe, North America, Scandinavia, Western Europe",51 - 100,"US$ 5,000,000 - 9,999,999",,EZ Certificate Name Issued By Certificate Type Valid Date KUBB TUV SUD TÜV SÜD 29 Aug 2022 - 29 Aug 2024 View details Factory & Facility Research & Development Quality Control SPORTS TOYS TOYS WOODEN GAMES
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Sunboy-Animation-Toys-Co-Ltd-/1S00OKBSD,"Guangzhou, Guangdong, Chinese Mainland",Mr Mike Zhang,Chinese Mainland,Exporter,2009,"Action Figures, Gifts / Souvenirs, Toy Vehicles","Room 612-614, No#1 Building, No. 9 Bowang Street Nancun Town, Panyu District Guangzhou, Guangdong 511442 China","Chinese Mainland, Eastern Europe, Korea, Middle East, Southeast Asia",26 - 50,"US$ 5,000,000 - 9,999,999",Sales Manager (Overseas Department),SUNBOY View All POP CULTURE TOY CATALOGUE gun model kit assemble video NARUTO metal keychain collection HUNTER X HUNTER tinplate badge
