url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Contact Person,Position,Office Address,Country/Region,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiang-Xing-Lighting-Co-Ltd/1X06TLRI,Manufacturer,"Foshan, Guangdong, Chinese Mainland",1992.0,"Environmental Protection, Lights","Eastern Europe, Western Europe",501 - 1000 ODM OEM,,Ms Cherry Yie,Managing Director Assistant,"Shunxing Road, Area B, Guicheng East Industrial District, Nanhai Area, Foshan City, Guangdong, 528251, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHONGSHAN-OLOPO-LIGHTING-CO-LTD/1S00OW969,"Exporter, Manufacturer, Wholesaler","Zhongshan, Guangdong, Chinese Mainland",2009.0,Lights,"Australasia, Central & South America, Eastern Europe, Other Asian Countries, Western Europe",16 - 25,"US$ 50,000 - 99,999",Mr Jingming Huang,Manager,"4th floor, Yuanhang building, No.69 Chang An North road Henglan, Zhongshan, China",Chinese Mainland,ZELAMPARA View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Fonda-Technology-Co-Ltd/1X0ARY9X,"Exporter, Manufacturer","Hangzhou, Zhejiang, Chinese Mainland",,"Consumer Electronics, Environmental Protection, Lights Certificate Name Issued By Certificate Type Valid Date Enrionmental management system certificate - - - Quality management system certificate - - - Company Business License - - - Enrionmental management system certificate - - - Quality management system certificate - - - Show More",,,,Ms Ivy Li,,"No.98 Wenyi West Road, Xihu District, Hangzhou City, Zhejiang Province, China.",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Bestwon-Lighting-Co-LTD/1S00OJLE9,,Chinese Mainland,,Lights,,,,Ling Wu,,"No. 51 Xihuan 5th Road South District, Zhongshan Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHONGSHAN-CO-TECH-INDUSTRIES-LTD/1X075FI9,Manufacturer,"Zhongshan, Guangdong, Chinese Mainland",2003.0,"Consumer Electronics, Environmental Protection, Home Appliances, Lights",Worldwide,201 - 500,"US$ 10,000,000 - 49,999,999 ODM OEM View details Factory & Facility Research & Development Quality Control",Mr Hua Kun Huang,Manager,"NALANG INDUSTRIES, NANLANG, ZHONGSHAN,GUANGDONG, CHINA",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Erdu-Lighting-Technology-Co-Ltd/1S00O2C0O,,Chinese Mainland,,Lights,,,,Mr David Deng,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Keyun-Electronics-Co-Ltd/1S00OGOP9,"Exporter, Manufacturer","Zhongshan, Guangdong, Chinese Mainland",2005.0,"Home Appliances, Homeware & Lifestyle Essentials, Lights","North America, Scandinavia, Western Europe, Worldwide",501 - 1000,"US$ 50,000 - 99,999",Ms Katherine Luo,,"No. 42, Haiwei Road, Liexiyi Community，Xiaolan Town Zhongshan City 中国",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-LOHAS-LED-Lighting-Factory/1X09Z7F0,,Chinese Mainland,,Lights,,,,Bella Huang,Marketing Director,"#1 5th Floor, No.2-9, Jinxing West Rd., Sansha Village, Henglan Town, Zhongshan City, Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Sunde-Lighting-Company-Limited/1X0ADMUC,"Exporter, Manufacturer","Zhongshan, Guangdong, Chinese Mainland",2013.0,"Environmental Protection, Lights","Africa, Central & South America, Chinese Mainland, Eastern Europe, Middle East, Other Asian Countries, Southeast Asia, Western Europe",,"US$ 5,000,000 - 9,999,999 OEM ODM R&D Certificate Name Issued By Certificate Type Valid Date ISO9001 ZSBC - (N/A) - 23 Sep 2024 View details Factory & Facility",Ms Cherry Chan,,"No.1st Building,Youfeng Industry , Kanglong Second Road,Henglan Town, Zhongshan City; Guangdong, Province China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hairui-Lighting-Co-Limited/1X0A0WQM,,Hong Kong,,"Environmental Protection, Health Care & Medical Supplies, Lights",,,,Amy lee,,"Rm 704, 7/F., Bright Way Tower, 33 Mong Kok Road, Mong Kok, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huapai-Lighting-Limited/1X07T73C,"Exporter, Wholesaler",Hong Kong,,,,,,Ms Fion Sue,,"Flat B07,23/F, Hover Industrial Building, No.26-38 Kwai Cheong Road, Kwai Chung, N.T, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangjing-Lighting-HK-Co-Ltd-/1S00OOKEA,,Hong Kong,,Lights,,,,Mr Haojie Liu,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kok-Technology-hong-Kong-Company-Limited/1S00OSQOA,,Hong Kong,,,,,,Kiki Tian,SALES,"Rm 2902, 29/F, Ho King Commercial Centre, 2-16 Fa Yuen Street, Mong Kok, KL, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ledman-Hong-Kong-Co-Limited/1X08Z3ZS,"Exporter, Manufacturer",Hong Kong,,"Environmental Protection, Lights",,,,Ms PEI YU,V.P. Assistant,"Rooms 1318-1319, Holllywood Plaza, 610 Nathan Road, Mongkok, Kowloon,",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/STRONGLUMEN-OPTO-CO-LIMITED/1X0AO9ZA,,Hong Kong,,Lights,,,,Lily Shi,,"Flat/Room 5, 6/F Witty Comm Bldg, 3A-2L Tung Choi Street, Mong Kok, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunsy-Group-Co-Limited/1X0F09HS,,Hong Kong,,,,,,Mr Frank Lo,,"Room 504 Hollywood Plaza 610 Nathan Road Mongkok, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Giant-Kingdom-International-Limited/1X08Z0EM,"Importer, Manufacturer",Hong Kong,,"Environmental Protection, Lights",,,,Ms LUCY LIN,Director Manager,"Room 1305, 13/F, International Trade Centre, 11-19 Sha Tsui Road,",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HongKong-Dichen-Power-Technology-Co-Ltd-/1S00OJ74H,,Hong Kong,,"Lights, Parts, Electrical Electronic Supplies",,,,Ms Lucy Hen,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Imked-Lighting-HK-Co-Ltd-/1S00OXLML,,Hong Kong View details Factory & Facility,,,,,,Ms Yu Zhang,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MING-WEI-LIGHTING-CO-LIMITED/1S00OWPXK,,Hong Kong,,,,,,Ms linda Li,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ODM-MASTER-LIMITED/1S00OPKAM,,Hong Kong View details Factory & Facility,,,,,,Mr peter Chan,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/XHLUX-Lighting-Limited/1S00OZ9AX,,Hong Kong,,,,,,Linda Zhang,,"Rms 505, Workingberg Commercial Bldg, 41-47 Marble Road, North Point, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Bingao-Lighting-Co-Limited/1S00OSQTV,,Hong Kong,,,,,,Ge Ling-,,"Flat/rm 1205, 12/F, Tai Sang Bank Building, 130-132 Des Voeux Road, Central., Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Damei-Intelligent-Technology-Co-LTD/1S00OXA1N,,Chinese Mainland,,,,,,Dr miss hu,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DongGuan-Pan-American-Electronics-Co-Ltd/1X09FGQY,,Chinese Mainland,,"Environmental Protection, Lights",,,,James Deng,General manager,"Chuangye Industry Zone, Xinxibian, Lixinniushan, Dongguan, Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Zhongao-Tech-Group-Co-Ltd/1S00O6ZHM,,Chinese Mainland,,,,,,Michael Xiao,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ganzhou-Zhongheng-Optoelectronics-Technology-Co-Ltd-/1S00OGQP7,,Chinese Mainland,,,,,,Ivan Xie,Sales,"West District of Residential Committee, Park of Xinfeng County, Ganzhou City, Jiangxi Province, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/GUANGDONG-ZOWEI-OPTOELECTRONIC-TECHNOLOGY-CO-LTD/1S00ONAV5,,Chinese Mainland,,,,,,xuan chen,,"8th.,Floor,Building C ,Youfeng Industrial Park No. Zhong Shan, GuangDong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiaxing-Xinshida-Intelligent-Technology-Co-Ltd/1S00OZJ45,,Chinese Mainland,,,,,,Haiqin Gu,administrative assistant,"Building 6, No. 200 Xuqiao Road, Sunshine Technology Town, Yuanhua Town, Haining City, Zhejiang Province",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linhai-Changshuo-Decorative-Lighting-Co-Ltd/1S00OC0M6,,Chinese Mainland,,,,,,xiansheng Lu,,"Qinyong Village, Dongcheng, Linhai, Zhejiang Province, Mainland China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dong-Guan-ZHS-Home-Co-Ltd/1S00OZJDE,,Chinese Mainland,,,,,,Sam Song,,"Room 201, Building 1, No.5 Niuxing Road, Dongcheng Street, Dongguan City, Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Chenhong-Lighting-Electrical-Appliance-Co-Ltd/1S00NVD1K,,Chinese Mainland,,Lights View details Factory & Facility,,,,Mr Jia-Long Xiong,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Hongwei-Electronic-Technology-Co-Ltd-/1S00O9A68,,Chinese Mainland,,,,,,Rita Xie,,"No. 1, First Floor, Factory A, No. 13, Bojin Road, Hardware, Foshan, Guangdong",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Hongzhu-Plastic-Hardware-Mould-Co-Ltd-/1S00OTH47,,Chinese Mainland,,,,,,- Liu,,528000 中國廣東省佛山市 禪城區張槎鎮 蓮塘蓮豐工業區B1棟1樓1號,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-IRD-Lighting-Co-Ltd/1S00OQQ6S,,Chinese Mainland,,,,,,George Zhang,General manager,528100 中國廣東省佛山市 南海區金沙丹灶鎮上安社區北陳開發區 入村北路2號陳滔開廠房三層之二,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Lanteng-Smart-Home-Co-LTD/1S00OVOWO,,Chinese Mainland View details Factory & Facility,,,,,,Mr peixin xu,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Yuedeng-Light-Technology-Co-Ltd/1S00NMVST,,Chinese Mainland,,,,,,Ms Liqun Che,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/GRIN-Industrial-Co-Ltd-/1S00OD5PS,,Chinese Mainland,,Lights,,,,Ms Claire Chin,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Tuorui-Technology-Co-Ltd/1S00ODGCK,,Chinese Mainland,,,,,,Ms Qianqiu Chen,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Haining-Ruidisheng-Optoelectronics-Co-Ltd-/1S00O66M0,,Chinese Mainland View details Factory & Facility,,,,,,Miss Ember Sun,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-GoodMoon-Import-Export-CO-LTD/1S00OTMAK,,Chinese Mainland,,,,,,- Wang,,"Building 35,NO.1218 Wenyi West Road, Cangqian Street,Yuhang D",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hangzhou-Xineng-Electric-Technology-Co-Ltd-/1S00P08L1,,Chinese Mainland,,,,,,Mary Deng,,"No. 999 Yun'an Road, Jinbei Street, Linan District, Hangzhou, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Ecos-Opto-Co-Ltd/1S00ONXKF,,Chinese Mainland,,Lights View details Factory & Facility,,,,Mr Tim Zhang,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Continue-Lighting-Co-ltd/1S00OL6DR,,Chinese Mainland,,,,,,wang xianshen,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linhai-Noshado-Industrial-And-Trading-Co-Ltd/1X0AQOQA,,Chinese Mainland,,Lights,,,,Caifei Lin,,"BUILDING A1 NO.7, QINGHUA ROAD, LINHAI CITY ZHEJIANG",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Linhai-Yongte-Crafts-Co-Ltd/1S00P07OT,,Chinese Mainland,,,,,,James Huang,,"Taizhou, Jiangsu, China,",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/LIONWAY-ELECTRONICS-CO-LIMITED/1S00NXMG2,,Chinese Mainland,,,,,,Mr ZHENGJIAN TAN,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lumi-Legend-Corp/1X006LDW,"Exporter, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",2005.0,"Furniture & Parts, Home Products, Lights & Constructions, Parts, Components & Electrical Supplies","Africa, Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",201 - 500,"US$ 10,000,000 - 49,999,999",Ms Jiang Yumiko,Vice President,"22/F., Building 1, Lisi Plaza Huifeng East Road Ningbo, Zhejiang China",Chinese Mainland,Lumi ODM OEM Certificate Name Issued By Certificate Type Valid Date Introduction to Lumi's Quality Management System - - - ​LUMI Testing Programme - - - ISO9001 - - - UL Certificate-M06/M07 - - - View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mindhand-Lighting-Suzhou-Technology-Co-Ltd/1S00O6T8J,,Chinese Mainland View details Factory & Facility,,,,,,Mr eric@mindhandlighting.com Eric Zheng,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Huanya-Electronics-Co-Ltd/1S00O9HED,,Chinese Mainland,,,,,,YA CHEN,,"Floor 3, Building 1, NO.288 West Zhihe Road, Chunxiao Town, Ningbo, Zhejiang, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SC-Tech-Co-Ltd-/1S00OLQYG,,Chinese Mainland,,Lights,,,,Miss Emilie Liang,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SD-Intelligent-Technology-Co-LTD/1S00OHO8O,,Chinese Mainland,,,,,,Vivian Kong,sales director,"Room 601-604, Building 3, No. 3, Shangwei South Second Road,Kangxi Village, Hetang Town, Pengjiang District, Jiangmen City, Guangdong,China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Bylen-Tech-Co-LTD/1S00OYRP6,,Chinese Mainland,,,,,,Miss Melody Xie,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Sail-Electric-Technology-Co-Ltd-/1S00OZJAN,,Chinese Mainland,,"Parts, Electrical Electronic Supplies",,,,Sandy Wei,Sales Manager,"520, Building A, Sounthern International Plaza, No.3013, Yitian Road, Futian District, Shenzhen, Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Tunnu-Innovation-Co-Ltd-/1S00OMK6Y,,Chinese Mainland,,,,,,Moana King,,"#506, 12th Building, Shenzhen Bay Eco-Technology P Nanshan District, Shenzhen,Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suqian-Taiyu-Electric-Appliance-Co-Ltd/1S00OMLOF,,Chinese Mainland,,Lights,,,,Ma Wei,,"The Pioneer Park of Gaodu Town, Siyang County, Suqian, Jiangsu, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Waltek-Testing-Group-Foshan-Co-Ltd-/1S00P2T3Y,,Chinese Mainland,,,,,,Sophie Su,Manager,"2/F,2nd Building, Sunlink International Machinery City,Chencun own, Shunde District, Foshan 528313,Guangdong,China.",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/WENZHOU-SUNNY-ELECTRICL-CO-LTD/1S00OXE2G,,Chinese Mainland,,,,,,Ms caizhi yan,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-LED-Show-Co-Ltd-/1X0AJU5D,"Exporter, Manufacturer, Wholesaler","Xiamen, Fujian, Chinese Mainland",2012.0,"Automobile Electronics, Baby Toys, Environmental Protection, Furniture & Parts, Gifts / Souvenirs, Lights, Parts, Components & Electrical Supplies, Parts, Electrical Electronic Supplies","Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, North America, Other Asian Countries, Scandinavia, Western Europe, Worldwide",26 - 50,"US$ 50,000 - 99,999",Ms Kelly Tsang,Sales Manager,"Room 3103-1, No. 345, Jiahe Road, Siming District, Xiamen City, Fujian Province, China.",Chinese Mainland,LED SHOW Certificate Name Issued By Certificate Type Valid Date CE-EMC Certification WST LAB - (N/A) - 04 Nov 2030 RoHS Certification WST LAB - (N/A) - 04 Nov 2030 View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xinqi-Aluminum-Co-Ltd/1X0AJSSW,,Chinese Mainland,,Lights,,,,once nayy,General manager,"21.NO.4, Ruifeng lamps Guzhen Town, Zhongshancity, Guangdong, China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ying-Fu-HK-INd-l-Ltd/1X005D9O,"Exporter, Manufacturer",Hong Kong,2000.0,"Homeware & Lifestyle Essentials, Lights","Australasia, Central & South America, Japan, North America, Western Europe",1 - 5,"US$ 5,000,000 - 9,999,999",Miss Mei Wa Luk,General Manager,"Unit H, 15/F, World Tech Ctr, 95 How Ming St, Kwun Tong, Kowloon, Hong Kong.",Hong Kong,ZERO View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Huatai-Electronics-Co-Ltd-/1S00OYIYO,,Chinese Mainland,,,,,,Sharon Zhang,Sales Manager,325005 中國浙江省溫州市 甌海區婁橋上匯工業區 中匯路281號,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-City-Rui-Ting-lighting-technology-Co-LTD/1S00OWPVQ,,Chinese Mainland,,,,,,Mr Shengpeng Wei,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-City-Suntec-Optical-Co-Ltd/1S00P0A75,,Chinese Mainland,,,,,,DING HONGBO,,"5th floor, No.35th Minghui Road, Jianghai Area, Jiangmen City, Guangdong Province, China",Chinese Mainland,
