"tablescraper-selected-row href","tablescraper-selected-row src","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"http://www.hmlexpo.com/?p=/Shop/index/zs/363","http://www.hmlexpo.com/static/upload/image/20240521/1716252151691551.png","B078","上海韩世韩实业有限公司","工业测量仪器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/362","http://www.hmlexpo.com/static/upload/image/20240514/1715646759113380.jpg","","北京英之杰欣业科贸有限公司","工业五金配件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/361","http://www.hmlexpo.com/static/upload/image/20230727/1690448730595921.png","","苏州怡合达自动化科技有限公司","自动化设备行业"
"http://www.hmlexpo.com/?p=/Shop/index/zs/360","http://www.hmlexpo.com/static/upload/image/20230727/1690448685186044.png","8502   8503","航天科技控股集团股份有限公司","航天应用、汽车电子、物联网"
"http://www.hmlexpo.com/?p=/Shop/index/zs/359","http://www.hmlexpo.com/static/upload/image/20230727/1690448600932380.png","T810","上银科技（中国）有限公司","传动控制与系统科技的研发制造"
"http://www.hmlexpo.com/?p=/Shop/index/zs/358","http://www.hmlexpo.com/static/upload/image/20230727/1690444448384457.png","T801","康耐视视觉检测系统（上海）有限公司","检测缺陷、监控生产线、引导装配机器人以及跟踪、分类和识别零件。"
"http://www.hmlexpo.com/?p=/Shop/index/zs/357","http://www.hmlexpo.com/static/upload/image/20230727/1690444269587106.png","T825","优利德科技（中国）股份有限公司","电子电工测试仪表、温度及环境测试仪表、电力及高压测试仪表、测绘测量仪表和测试仪器等"
"http://www.hmlexpo.com/?p=/Shop/index/zs/356","http://www.hmlexpo.com/static/upload/image/20230727/1690443938302873.png","T808","意萨自动化科技(上海)有限公司","组态软件，人机界面，工控机，工业电脑，工业显示器，PLC，运动控制器，CNC控制器，I/O模块, 伺服驱动，伺服电机，交换机，视觉产品，机器人控制软件等。"
"http://www.hmlexpo.com/?p=/Shop/index/zs/355","http://www.hmlexpo.com/static/upload/image/20230727/1690443304617576.png","T980","博能传动（天津）有限公司","ljx@boneng.com.cn"
"http://www.hmlexpo.com/?p=/Shop/index/zs/354","http://www.hmlexpo.com/static/upload/image/20230727/1690441787339657.png","T800","米思米（中国）精密机械贸易有限公司","冲压模具标准件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/353","http://www.hmlexpo.com/static/upload/image/20230727/1690441561721027.png","T951","中国科学院沈阳自动化研究所","监控解决方案"
"http://www.hmlexpo.com/?p=/Shop/index/zs/352","http://www.hmlexpo.com/static/upload/image/20230727/1690441363231503.png","T820","GE数字集团","监控解决方案"
"http://www.hmlexpo.com/?p=/Shop/index/zs/351","http://www.hmlexpo.com/static/upload/image/20230727/1690441085332518.png","T750","瑞士万通中国有限公司","多方位离子分析设备"
"http://www.hmlexpo.com/?p=/Shop/index/zs/350","http://www.hmlexpo.com/static/upload/image/20230727/1690427652983730.png","T688","中航光电科技股份有限公司","航空及防务和高端制造提供互连解决方案"
"http://www.hmlexpo.com/?p=/Shop/index/zs/349","http://www.hmlexpo.com/static/upload/image/20230727/1690427353760684.png","T770","星仪传感器制造有限公司","压力变送器、液位变送器、温度变送器、温湿度变送器、土壤水分传感器、扭矩传感器及其关联仪表产品"
"http://www.hmlexpo.com/?p=/Shop/index/zs/348","http://www.hmlexpo.com/static/upload/image/20230727/1690427105573798.png","T669","希磁科技","电流传感器、角度传感器、位移传感器、磁性编码器、磁图像传感器、弱磁检测传感器、厚度检测传感器、齿轮传感器等多系列产品"
"http://www.hmlexpo.com/?p=/Shop/index/zs/347","http://www.hmlexpo.com/static/upload/image/20230727/1690426624684122.png","T660","美武软件","智能制造"
"http://www.hmlexpo.com/?p=/Shop/index/zs/346","http://www.hmlexpo.com/static/upload/image/20230727/1690426390670255.png","T825","福禄克测试仪器（上海）有限公司","世界电子测试工具"
"http://www.hmlexpo.com/?p=/Shop/index/zs/345","http://www.hmlexpo.com/static/upload/image/20230727/1690426031409002.png","T883","萍乡顺鹏新材料有限公司","陶瓷研磨体、复合耐磨材料"
"http://www.hmlexpo.com/?p=/Shop/index/zs/344","http://www.hmlexpo.com/static/upload/image/20230727/1690425483384377.png","T667","厦门菲莱特电子有限公司","重载连接器（矩形连接器）/圆形连接器（传感器连接器及通信网络连接器）/定制线束"
"http://www.hmlexpo.com/?p=/Shop/index/zs/343","http://www.hmlexpo.com/static/upload/image/20230727/1690425266388403.png","T823","浙江如川谐波传动科技有限公司","精密谐波传动装置集"
"http://www.hmlexpo.com/?p=/Shop/index/zs/342","http://www.hmlexpo.com/static/upload/image/20230727/1690424962482389.png","8509","哈尔滨岛田大鹏工业股份有限公司","工业智能清洗机、机器视觉瑕疵检测设备"
"http://www.hmlexpo.com/?p=/Shop/index/zs/341","http://www.hmlexpo.com/static/upload/image/20230727/1690423906373916.png","8525","南德认证检测（中国）有限公司",""
"http://www.hmlexpo.com/?p=/Shop/index/zs/340","http://www.hmlexpo.com/static/upload/image/20230727/1690423630873040.png","T782","东莞市凯融光学科技有限公司","“光成像非球面镜片模具、光电传感器透镜模具"
"http://www.hmlexpo.com/?p=/Shop/index/zs/339","http://www.hmlexpo.com/static/upload/image/20230727/1690423148987262.png","T950","东莞市曜诚电子科技有限公司","线路板中小批量电路板"
"http://www.hmlexpo.com/?p=/Shop/index/zs/338","http://www.hmlexpo.com/static/upload/image/20230727/1690422141960074.png","T795","上海圣思瑞智能科技有限公司","电动夹爪、电动滑台、电动缸"
"http://www.hmlexpo.com/?p=/Shop/index/zs/337","http://www.hmlexpo.com/static/upload/image/20230727/1690421825292816.png","T783","优钢新材料科技（湖南）有限公司","各种矿山设备及磨损配件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/336","http://www.hmlexpo.com/static/upload/image/20230727/1690421498970149.png","T870","跨越速运集团有限公司","速运"
"http://www.hmlexpo.com/?p=/Shop/index/zs/335","http://www.hmlexpo.com/static/upload/image/20230727/1690421195212085.png","T1033","山东聚多士能源科技有限公司","节能环保技术及煤炭清洁高效利用技术"
"http://www.hmlexpo.com/?p=/Shop/index/zs/334","http://www.hmlexpo.com/static/upload/image/20230727/1690420640906862.png","T668","深圳市亿道信息股份有限公司","仓储物流、智能制造、交通运输、能源行业"
"http://www.hmlexpo.com/?p=/Shop/index/zs/333","http://www.hmlexpo.com/static/upload/image/20230727/1690419977830923.png","T865","北京九思易自动化软件有限公司","监控、集成管控、管控服务、人机界面和物联网网关"
"http://www.hmlexpo.com/?p=/Shop/index/zs/332","http://www.hmlexpo.com/static/upload/image/20230727/1690419644217986.png","T700","江苏优格曼航空科技有限公司","、自动化铸造、精密机加工"
"http://www.hmlexpo.com/?p=/Shop/index/zs/331","http://www.hmlexpo.com/static/upload/image/20230727/1690419366586507.png","T790","徐州中矿科光机电新技术有限公司","“矿井提升智慧容器”“XSZ钢丝绳张力自动平衡悬挂装置”、“定量带式装载系统”"
"http://www.hmlexpo.com/?p=/Shop/index/zs/330","http://www.hmlexpo.com/static/upload/image/20230727/1690419031321845.png","8560   8561","徐州聚光动力科技有限公司","压凿岩设备"
"http://www.hmlexpo.com/?p=/Shop/index/zs/329","http://www.hmlexpo.com/static/upload/image/20230727/1690418680471057.png","T863","金鑫宇电源（深圳）有限责任公司","电动滑板车充电器 ，平衡车充电器，无人飞机充电器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/328","http://www.hmlexpo.com/static/upload/image/20230727/1690418177165342.png","T680","重庆中瓦智能科技有限公司","矿用随钻轨迹测量系统"
"http://www.hmlexpo.com/?p=/Shop/index/zs/327","http://www.hmlexpo.com/static/upload/image/20230727/1690417735606345.png","T751","洛阳奥维特精密轴承有限公司","交叉圆柱滚子等高精度轴承"
"http://www.hmlexpo.com/?p=/Shop/index/zs/326","http://www.hmlexpo.com/static/upload/image/20230727/1690417416440028.png","T912","佛山市程业五金电器有限公司","五金电器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/325","http://www.hmlexpo.com/static/upload/image/20230727/1690416874769330.png","T889","深圳赛视智能科技有限公司","基AI深度学习算法的软件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/324","http://www.hmlexpo.com/static/upload/image/20230726/1690356022717494.png","T1035","深圳市鑫精诚传感技术有限公司","智能传感器与控制仪表"
"http://www.hmlexpo.com/?p=/Shop/index/zs/323","http://www.hmlexpo.com/static/upload/image/20230726/1690355692794367.png","T678","宁波东洲传动件有限公司","球头球接、气缸附件、杆端关节轴承、向心关节轴承等汽车及机械零配件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/322","http://www.hmlexpo.com/static/upload/image/20230726/1690355387795994.png","T690","河南汇龙液压科技股份有限公司","钢丝编织液压软管"
"http://www.hmlexpo.com/?p=/Shop/index/zs/321","http://www.hmlexpo.com/static/upload/image/20230726/1690355078167281.png","T808","伊克泰恪贸易（上海）有限公司","电缆"
"http://www.hmlexpo.com/?p=/Shop/index/zs/320","http://www.hmlexpo.com/static/upload/image/20230726/1690354821329019.png","T785","北京昆仑海岸科技股份有限公司","生态环保领域的物联网"
"http://www.hmlexpo.com/?p=/Shop/index/zs/319","http://www.hmlexpo.com/static/upload/image/20230726/1690354580894533.png","T770A","湖南长步道光学科技有限公司","人工智能领域，中高端光学镜头的研产销"
"http://www.hmlexpo.com/?p=/Shop/index/zs/318","http://www.hmlexpo.com/static/upload/image/20230726/1690354353173251.png","8531","佐志温控技术(上海)有限公司","各类机柜、温控系统、电气成套及IDC数据中心冷热通道等"
"http://www.hmlexpo.com/?p=/Shop/index/zs/317","http://www.hmlexpo.com/static/upload/image/20230726/1690354001636374.png","T990","中科贝思达（厦门）环保科技股份有限公司","纳米滤材、水驻极熔喷滤材、静电棉，防静电高分子材料"
"http://www.hmlexpo.com/?p=/Shop/index/zs/316","http://www.hmlexpo.com/static/upload/image/20230726/1690353701333160.png","T670","广州市精谷智能装备有限公司","高精度角度编码器、数字显示器、高精度机器人关节模组、高精度协作机器人本体"
"http://www.hmlexpo.com/?p=/Shop/index/zs/315","http://www.hmlexpo.com/static/upload/image/20230726/1690353383516786.png","8616","费勉仪器科技（上海）有限公司","科研仪器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/314","http://www.hmlexpo.com/static/upload/image/20230726/1690351697369761.png","T902","台州市格特电机有限公司","伺服电机"
"http://www.hmlexpo.com/?p=/Shop/index/zs/313","http://www.hmlexpo.com/static/upload/image/20230726/1690351433832705.jpg","T780","山东鲁科液压科技有限公司","摆线液压马达，液压绞车、液压制动器、液压回转减速机、液压平行阀、液压转向器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/312","http://www.hmlexpo.com/static/upload/image/20230726/1690351164295068.png","T990","旭美控股集团有限公司","医用防护口罩、日常防护口罩、儿童口罩"
"http://www.hmlexpo.com/?p=/Shop/index/zs/311","http://www.hmlexpo.com/static/upload/image/20230726/1690350939969723.png","T610","天津港东疆建设开发有限公司",""
"http://www.hmlexpo.com/?p=/Shop/index/zs/310","http://www.hmlexpo.com/static/upload/image/20230726/1690350712384923.png","T880","上海泽丰半导体科技有限公司","加速芯片"
"http://www.hmlexpo.com/?p=/Shop/index/zs/309","http://www.hmlexpo.com/static/upload/image/20230726/1690350478258867.png","8610","青岛旭欧轴承有限公司","轴承"
"http://www.hmlexpo.com/?p=/Shop/index/zs/308","http://www.hmlexpo.com/static/upload/image/20230726/1690350214346177.png","T760","杭州迪普科技股份有限公司","自主知识产权的安全大数据处理引擎与AI智能分析引擎"
"http://www.hmlexpo.com/?p=/Shop/index/zs/307","http://www.hmlexpo.com/static/upload/image/20230726/1690349854576715.png","T761","北京正达信通科技有限公司","人工智能、大数据、云计算"
"http://www.hmlexpo.com/?p=/Shop/index/zs/306","http://www.hmlexpo.com/static/upload/image/20230726/1690349766703890.png","T762","北京铁牛科技有限公司","物联网智能网关"
"http://www.hmlexpo.com/?p=/Shop/index/zs/305","http://www.hmlexpo.com/static/upload/image/20230726/1690349642529235.png","T763","郑州启阳工控技术有限公司","无风扇工控机"
"http://www.hmlexpo.com/?p=/Shop/index/zs/304","http://www.hmlexpo.com/?p=/ShopInfo/slist/&page=5","T765","上海苏肯电气科技有限公司","风机、水泵专用机、发电机专用机"
"http://www.hmlexpo.com/?p=/Shop/index/zs/303","http://www.hmlexpo.com/static/upload/image/20230726/1690338606540121.png","T766","北京智美通科技有限公司","智能控制系统"
"http://www.hmlexpo.com/?p=/Shop/index/zs/302","http://www.hmlexpo.com/static/upload/image/20230726/1690338130529944.png","T766","北京联控智普科技有限公司","机器视觉组态软件"
"http://www.hmlexpo.com/?p=/Shop/index/zs/301","http://www.hmlexpo.com/static/upload/image/20230726/1690337719864555.png","T767A","日控（北京）传动技术有限公司","、ASCO 流体阀、气动阀、艾默生自控产品、日本TLV蒸汽阀门等。 2、国产高效减速电机 蜗轮蜗杆减速机、行星减速机、升降系统、定制减速电机等 3、科尔摩根伺服电机、直驱电机、无框伺服电机、电动推杆、电动滑台、集成模组等。 4、丹佛斯变频器 FC111风机泵类负载变频器、IC2 经济型变频器。"
"http://www.hmlexpo.com/?p=/Shop/index/zs/300","http://www.hmlexpo.com/static/upload/image/20230726/1690337136445959.png","T981","深圳市粤凌电子科技有限公司","精密航空连接器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/299","http://www.hmlexpo.com/static/upload/image/20230726/1690336834801648.png","8623","上海昊可流体控制技术有限公司","中高压球阀、单向阀、针阀、节流阀、电动阀、气动阀"
"http://www.hmlexpo.com/?p=/Shop/index/zs/298","http://www.hmlexpo.com/static/upload/image/20230726/1690336552694432.png","8628","深圳国微感知技术有限公司","激光雷达、柔性压力传感器"
"http://www.hmlexpo.com/?p=/Shop/index/zs/297","http://www.hmlexpo.com/static/upload/image/20230726/1690336253466100.png","8008","浙江京腾智能装备有限公司","工业自动化与工业信息产品及系统解决方案提供商"
"http://www.hmlexpo.com/?p=/Shop/index/zs/296","http://www.hmlexpo.com/static/upload/image/20230726/1690335954728880.png","T631","北京安信力科技有限公司","EMMC和LPDDR、EMCP、BGA SSD，固态盘"
"http://www.hmlexpo.com/?p=/Shop/index/zs/295","http://www.hmlexpo.com/static/upload/image/20230726/1690335727578533.png","8500","宁波宁港永磁材料有限公司","检测能力"
"http://www.hmlexpo.com/?p=/Shop/index/zs/294","http://www.hmlexpo.com/static/upload/image/20230726/1690335278245616.png","T792","北京中泰华旭科技发展有限公司","iDCS掌心工厂工业物联网平台软件"
