company name,location,Booth: 3C-D14   |   Public Hall - Beverages (Alcoholic)   |   ,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Brand Name,Company Website,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Background,Booth: 1B-A10   |   Public Hall - Sauces & Seasonings   |   
Truth & Faith International Limited,Hong Kong,,,"Retailer, Wholesaler",,"AUSupreme, Organic Nature, Superbee and Toplife are famous brand name of a series of Australian health products. The brand consists of full range of health supplements and skin care products which are suitable for children, adults and the elderly.","Top Life,Organic Nature,澳至尊（AUSupreme）,Superbee",www.ausupreme.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 Hong Kong Shopping Festival Style Hong Kong Pavilion at China International Consumer Products Expo, Haikou HKTDC Food Expo 2023 Chic HK, Shenzhen Style Hong Kong Pavilion at China International Consumer Products Expo, Haikou Show More",,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00637YZ?fairCode=hkfoodexpo&locale=en,"Truth & Faith International Ltd. is sole agent of Australian Organic Nature, Ausupreme, Superbee products in Mainland, Hong Kong, and Macau. The famous products are NMN, Rokkaku Reishi, Royal Jelly, Omega-3, Propolis, Bilberry, Liver Tonic, Squalene, Grape Seed, Evening Primrose Oil, Shark Cartilage, Super Joint, Sheep Placenta, Lecithin, Skin care and Slim products. We have 16 specialty shops, stores and counters in Mannings, Sa Sa, Free Duty, Dufry, Shilla, AEON, Wing On, Sincere, Yue Wah and Yata. We also wholesale to professional clinic and beauty salon. We advocates the concept of Healthy Life via our Most concern. The quality of the products are the highest that the products are the best health products and welcomed by customers.",
Wing Wah Food Manufactory Limited,Hong Kong    |    Factory in Hong Kong,,,"Manufacturer, Retailer","Health Supplement, Snack, Chinese Cake, Dried & Preserved Food, Tea, Sauce","Wing Wah Mooncake, Chinese Sausage, XO Sauce, Wedding Cake, Icy Mooncake, Tea and Wife Cake","Wing Wah,Yuen Long Wing Wah",www.wingwah.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Food Expo 2025 HKTDC World of Snacks 2025 HKTDC Food Expo 2024 HKTDC World of Snacks 2024 HKTDC Food Expo 2023 HKTDC World of Snacks 2023 Show More,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00637W5?fairCode=hkfoodexpo&locale=en,"Established in 1950, Hong Kong Wing Wah is one of the few old restaurant chains and cross-century traditional Chinese delicacies corporations that still exist today in Hong Kong. Wing Wah branches are found all over Hong Kong, covering a wide scope of business operation which include restaurants, Chinese preserved meat products, moon cakes, wedding cakes, other traditional festive food, Chinese assorted cakes and wholesome food. Our products are also sold to almost 100 overseas markets in Europe, the United States, Canada, Australia and Asia.",
Department of Commerce of the Xizang Autonomous Region,Chinese Mainland,,,Statutory Body,"Organic Food & Beverage, Snack",食品,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0066GBN?fairCode=hkfoodexpo&locale=en,,
Fujian Provincial Department of Commerce,Chinese Mainland,,,Government,Instant Food,Ready-to-eat meals and delicacies,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00641OZ?fairCode=hkfoodexpo&locale=en,,
Modernized Chinese Medicine International Association Ltd,Hong Kong,,,Trade/Industrial Organisation,"Health Supplement, Trade Associations & Government Organisations, Health Supplement, Trade Associations & Government Organisations",Chinese Medicine Display,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2017 HKTDC Food Expo 2016 HKTDC International Conference & Exhibition of the Modernization of Chinese Medicine & Health Products 2015 International Conference & Exhibition of the Modernization of Chinese Medicine & Health Products 2014 International Conference & Exhibition of the Modernization of Chinese Medicine & Health Products 2013 International Conference & Exhibition of the Modernization of Chinese Medicine & Health Products International Conference & Exhibition of the Modernization of Chinese Medicine & Health Products Show More,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0066GEE?fairCode=hkfoodexpo&locale=en,,
Saint Honore Cake Shop Limited,Hong Kong,,,"Chain Store, Retailer","Bread, Cake, Chinese Cake",Saint Honore Mooncakes,Saint Honore Cake Shop Limited,https://www.sthonore.com/hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063ADN?fairCode=hkfoodexpo&locale=en,"Saint Honore Cake Shop has opened their first shop in Hong Kong since 1972, the first shop located at Happy Valley and has being an iconic shop in the community. The business has been expanded to Macau and the Pearl River Delta. Now, Saint Honore Cake Shop has developed over 100 shops, sharing happy moments with Hong Kong people over past decades. Saint Honore Cake Shop is a member of Convenience Retail Asia Limited. Saint Honore Cake Shop dedicates to provide high-quality and delicious cake, fresh bread and festive products to consumers in Hong Kong and Macau. With the finest ingredients and good quality, Saint Honore Cake Shop has been awarded the ISO 9001 and HACCP food safety accreditation, a recognition from the industry on its consistently stringent quality control and high standard of food hygiene. Tastiness, freshness and attractive presentation are the key attributes of Saint Honore products. Our dedicated colleagues are committed to provide quality and friendly service to our customers and to delight them with our comprehensive product offerings and innovative promotions.",
"Grass Lands Food Co., Ltd.",Taiwan    |    Factory in Taiwan,,,"Retailer, Manufacturer, Exporter",,"Snack (Pork Jerky, Beef Jerky, Seafood, Nut, Dried Fruit)",KUAICHE,www.kuaiche.com.tw/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063VXE?fairCode=hkfoodexpo&locale=en,"Kuaiche Pork Jerky originated from a time-honored brand in Nanmen Market in Taiwan. For more than 40 years, it has been adhering to ""inherited experience"" and ""innovative features"" to provide consumers with more diverse choices; Kuaiche has become more diverse, and what remains unchanged is the human touch. : Doing business is not just to make money, but to make friends and be sincere to people so that you can go a long way. Express's signature product is the best-selling ""Almond Crispy Meat Paper"", which is only 0.01 cm thick at its thinnest, translucent and crispy. There is also the ""Signature Extra Thick Pork Jerky"" with a thickness of 1cm. The pork jerky is made from fresh pork shank, which is more than addictive to eat.",
Concord Alliance Limited,Hong Kong    |    Factory in Japan,,,Retailer,Health Supplement,"Meiriki combines advanced Japanese research with stringent quality standards to create trusted health supplements. Our products support brain and memory performance, joint flexibility, heart and vascular health, immune strength, and eye protection.","日本命力,活得易",www.meiriki-jp.com.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 The 8th China International Import Expo (CIIE) Hong Kong Food Pavilion HKTDC Food Expo 2025 Hong Kong Pavilion at SIAL Shanghai 2025 HKTDC Food Expo 2024 SIAL Shanghai SIAL Shenzhen HKTDC Food Expo 2023 Show More,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063F70?fairCode=hkfoodexpo&locale=en,"Established in 1997, Meiriki Japan is a leading provider of premium, 100% Japan-made health supplements in Hong Kong. For over 29 years, we have combined Japanese manufacturing excellence with professional expertise, supported by our unique team of registered nutritionists.",
Forty One Hong Kong Trading Company Limited,Hong Kong    |    Factory in Chinese Mainland,,,"Wholesaler, Export Agent, Import Agent, Retailer",Frozen Seafood,"Turritopsis Nutricula's diversified high-end oyster product line layout includes fresh oysters, frozen oysters, pre-made oysters, ready-to-eat oysters and other categories.",燈塔水母,https://www.41hktrading.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063NCD?fairCode=hkfoodexpo&locale=en,"World One Hong Kong Trading Company is a dynamic international trading firm established on January 23, 2025. After six months of strategic preparation, we formally commenced operations in August 2025. Our core mission is to become a premier global shopping platform hub. We are dedicated to sourcing and curating high-quality products from diverse countries, offering our clients a centralized and exceptional marketplace with an extensive and unique selection.",
"Hong Kong Yakult Company, Limited",Hong Kong    |    Factory in Hong Kong,,,Manufacturer,Fermented Milk Drink,"Yakult,Yakult Family Pack,Yakult LT,Yakult Y1000,Yakult Muscat Flavour,Yakult Joie","Yakult,Other Yakult Products (TBC Yakult1000/Y Mix Juice",www.yakult.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 HKTDC Food Expo 2019 HKTDC Food Expo 2018 Show More,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063U6O?fairCode=hkfoodexpo&locale=en,"Yakult has been developed upon the unique concept in which live beneficial microorganism is incorporared into the fermented milk products. This microorganism is Lactobacillus casei Shirota strain named after late Dr. Shirota of Kyoto University. Dr. Minoru Shirota is a founding father of the Yakult business in Japan. He discovered this bacterium in 1930. His lifelong philosophy as a student of medicine was ""Prevention Above Cure"". Yakult always helps keep your intestines in a good, healthy condition.",
Old Seng Choong (Hong Kong) Limited,Hong Kong,,,"Others, Chain Store","Chinese Cake, Cake, Snack, Biscuit","Pandan cakes, pastries, cookies, Kueh Lapis",Old Seng Choong,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063NG1?fairCode=hkfoodexpo&locale=en,,
Heart Work Trading Company Limited,Hong Kong    |    Factory in Spain,,,"Retailer, Wholesaler","Frozen Seafood, Frozen Meat, Cheese","Trade with HEART, WORK with Passion.","Ming Man Tea 茗滿小茶,mas masana 西班牙香腸火腿,Wine x Meat . Frds 酒肉朋友",www.cocean.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Hong Kong International Wine and Spirits Fair 2023 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Simply Shopping Fest 2022 HKTDC Hong Kong Electronics Fair 2021 (Autumn Edition) Show More,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0063MWQ?fairCode=hkfoodexpo&locale=en,"We are a trade company specializing in global high-end gourmet foods, carefully selecting luxurious ingredients from around the world. Our offerings include premium delicacies such as Spanish sausages, Spanish ham, French cheeses, foie gras, caviar, and more. Each product is rigorously selected to ensure exceptional quality and authentic flavors. Every dish and every delicacy carries the cultural stories and historical backgrounds of the countries it comes from. We are dedicated to bringing the finest global cuisine to our customers, allowing them to experience these exotic flavors in a comfortable setting. Through high-quality products and exceptional service, we aim to make every gathering a delightful journey of taste exploration.",
"Aksu Huafeng Fruit Industry Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,,Wholesaler,"Fruit, Fruit","Aksu Dried Apples, Fresh Aksu Apples, Wensu Walnuts, Aksu Dinosaur Egg Pluots and Aksu Prunes. All cultivated in Xinjiang with sufficient sunlight, naturally ripe, sweet and tender. Strictly screened and properly stored, premium authentic local speci",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00652ES?fairCode=hkfoodexpo&locale=en,"Aksu Huafeng Fruit Industry Co., Ltd. is located in the core producing area of the ""Sugar Heart Apple"", boasting an advantageous geographical location and convenient transportation. It is less than 2 kilometers in a straight line from Aksu Airport, 3 kilometers away from the Woody Grain and Oil Forest Farm, and 10 kilometers from the 100,000-mu Ecological Forest and Fruit Base in Wensu. With a registered capital of 30 million yuan, it is a modern agricultural enterprise integrating the planting, purchasing, fresh-keeping warehousing, processing and sales of characteristic forest and fruit products in southern Xinjiang. The company has built a 1,000-mu demonstration garden for new varieties of characteristic forest fruits, with a fresh-keeping warehouse capacity of 50,000 tons. It is equipped with 12 standardized sorting lines for walnuts and walnut kernels with an annual capacity of ten thousand tons, as well as 6 intelligent photoelectric sorting lines for apples. It processes, circulates, purchases and sells nearly 100,000 tons of characteristic fruits every year, and provides employment for more than 1,500 people during peak seasons.",
Alua E Comidas Portuguesa Kamin,Macao    |    Factory in Macao,,,"Wholesaler, Retailer","Biscuit, Biscuit",Bicho Bicho Bolinhas nogueiras Bolinhas folha de anebdoas de portuguesa,金燕西洋牛油糕葡式食品,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065C4C?fairCode=hkfoodexpo&locale=en,,
"Baise Magnificent Tea Oil Technology Co., Ltd.",Chinese Mainland,,,Manufacturer,"Organic Food & Beverage, Functional Food",Zhuangli Camellia Oil,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065AGE?fairCode=hkfoodexpo&locale=en,,
"Bama Original Fragrant Pig Agriculture and Animal Husbandry Industrial Co., Ltd.",Chinese Mainland,,,Manufacturer,Instant Food,Bama Fragrant Pork Sausage Chinese Cured Pork Belly Pork Jerky Braised Pork Trotter Volcano Sausage Multigrain Rice Diverse Grains 7-Day Soy Milk Meal Kit Hemp Seeds Hemp Seed Oil Hemp Seed Jasmine Pastry,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065ACQ?fairCode=hkfoodexpo&locale=en,,
"Bright Elite Gourmet Co., Ltd.",Macao,,,,,,澳門英記餅家,www.yengkee.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065C3F?fairCode=hkfoodexpo&locale=en,澳門英記餅家始於一九二八年，為澳門最老牌餅家之一。承傳獨特製餅技藝，香傳澳門地道風味逾百年歷史，每一件糕餅都承載着一份歲月焠鍊下的好滋味。澳門英記將傳統與創新兼容並蓄，緊跟時代步伐，增設了現代化廠房，以最高的衛生標準生產上乘優質的美食，並將門市設計得時尚亮麗，以精巧的包裝和細心的服務給顧客新的購物體驗。 深情厚禮，心思滿載，正是澳門英記九十多年不變的堅持。,
"Changsha Hongxiangyao Agricultural Development Co., Ltd.",Chinese Mainland,,,Others,"Dried & Preserved Food, Vegetable, Instant Food, Tea, Frozen Vegetable",Fresh-Frozen Gardenia Flowers Dried Gardenia Flowers Gardenia Flower Cakes Gardenia-Scented Maojian Tea Gardenia Home Fragrance / Gardenia Sachets Roasted Gardenia Fruit Tea Preserved Radish Strips Pickled Artichokes (Jerusalem Artichokes),,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065OXL?fairCode=hkfoodexpo&locale=en,"We are an integrated agribusiness specializing in the production and sales of gardenia flowers and fruits, encompassing the procurement, primary processing, and marketing of local agricultural specialties. Established on December 13, 2021, with a registered capital of RMB 5.08 million.",
"Chenzhou Qihan Ecological Agricultural Technology Co., Ltd",Chinese Mainland,,,"Wholesaler, Retailer",Organic Food & Beverage,"It covers fresh lotus root, white jade luffa seasonal vegetables, lotus seeds and a series of deep processing, including innovative and developed lotus seed noodles, lotus root noodles, lotus root powder and other healthy food","棲漢,李社長,棲漢蓮藕",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026 HKTDC Food Expo 2025,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065OHX?fairCode=hkfoodexpo&locale=en,"Chenzhou Qihan Ecological Agricultural Technology Co., Ltd. was established in 2016. It is a leading modern agricultural enterprise that focuses on ecological agriculture, integrating research and innovation, standardized planting, deep processing, and branded sales of lotus roots and vegetables. The company leverages Hunan's high-quality ecological resources to develop the entire lotus root industry chain, aiming to create a healthy food supply system from farm to table. Core advantages: Large-scale planting: The company has over 1,200 acres of standardized planting bases, with 380 acres equipped with a visual IoT traceability system, ensuring full traceability throughout the production process. The company produces 1,500 tons of high-quality lotus roots annually, maintaining a leading position in the industry.Contact us Address: Zhuangmen Village, Qifengdu Town, Suchen District, Chenzhou City, Hunan Province Brand cooperation: Mr.Li Hong Tel: 13487880645",
Chi Fung Food Company Limited,Macao    |    Factory in Macao,,,"Manufacturer, Wholesaler, Retailer","Dried & Preserved Food, Canned Food, Dried Seafood, Dried & Preserved Food, Canned Food, Dried Seafood, Dried & Preserved Food, Canned Food, Dried Seafood",Ready to serve food,資豐 CHI FUNG,www.chifungfood.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S006566C?fairCode=hkfoodexpo&locale=en,"Chi Fung Food Company Limited (CHI FUNG) based in Macao, CHI FUNG is a modern, premium food manufacturing enterprise integrating research, development, and production. The core mission of CHI FUNG is to seamlessly blend traditional Chinese delicacies and dried seafood craftsmanship with modern food technology, elevating exquisite, top-tier ingredients into a whole new dimension of ""ready-to-eat convenience, accessibility, and lifestyle integration.""",
Cuiping Ecological Farm,Chinese Mainland,,,"Wholesaler, Buying Cooperative","Fruit, Fruit","Haihe Sweet Garden Figs Grown with soybean organic fertilizer, naturally ripe. Soft, sweet and juicy, freshly picked. Origin: Laifosi Village, Taiping Subdistrict, Jinan Start-up Zone",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0064ZM7?fairCode=hkfoodexpo&locale=en,,
"Darhawug Xizang Chhaang Co.,Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,,"Manufacturer, Exporter",,产品简介 1）“喜孜”青稞酒的原料 “喜孜”青稞酒的原料选用 “喜孜”青稞酒选用“藏青320”和“藏青25”为生产原料。“藏青320”在上世纪80年代中期通过审定后，目前是全区各农区主要种植品种和迄今推广面积最大的青稞品种。藏青“２５”的β－葡聚糖含量高达8.62％，蛋白质含量11.91％，粗脂肪含量1.83％，平均亩产258千克，是一个典型的大穗型高产优质品种。 青稞的生理价值 流行病学调查发现，食用青稞食品较多的人群的高胆固醇类疾病发病率较低。 中医和藏医学中，对青稞食品的,"DARHAWUG,SHITSE",www.xzqkj.net,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0064UFX?fairCode=hkfoodexpo&locale=en,,
Department of Agriculture and Rural Affairs of Xinjiang,Chinese Mainland,,,Government,Trade Associations & Government Organisations,"We will put on a focused display of over 100 products, including grain, edible oil, fruits, forest specialties, livestock products, red wine and aquatic goods.",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00651Z2?fairCode=hkfoodexpo&locale=en,,
"Dezhou Gushen Protein Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,,Manufacturer,"Organic Food & Beverage, Functional Food, Organic Food & Beverage, Functional Food","Our product range includes: isolated soy protein, concentrated soy protein, soy dietary fiber, various extrusion products( texturized soy protein concentrate, soy crisps etc.), spray dried soy powder and bean pasta.",GUSHEN,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0064ZIJ?fairCode=hkfoodexpo&locale=en,"Gushen is one of the global leading Non-GMO soy protein suppliers, fully integrated from soybeans into soy proteins.",
Fabrica De Produtos Alimentares Hokkaido,Macao,,,"Exporter, Manufacturer","Biscuit, Snack, Biscuit, Snack",公司主營澳門特產等各類糕點的食品品牌，集研發、製作、運營、管理於一體，以“生態、安全、美味、綠色、多元”為核心品牌底蘊，為顧客提供健康休閒美食，以綠色的食材、美味的食品和體貼的服務體系，創建“品佰蕾”品牌。,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00656DR?fairCode=hkfoodexpo&locale=en,,
"Fliport Foods Xizang Co.,Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,,"Retailer, Wholesaler, Manufacturer","Food & Beverage Publishing Service, Food & Beverage Publishing Service","Xizang Specialties: Yak Meat Series Products (Hand-Torn Yak Meat, Dried Yak Meat, Greedy Yak Meat, Freshly Marinated Yak Tendon, Crispy Yak Meat Chips); Highland Barley Series Products (Highland Barley Square Puff, Highland Barley Multi-Grain Cookies","亚雪布,佰翔空厨",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0064U9F?fairCode=hkfoodexpo&locale=en,"Tibet Baixiang Tianchu Food Co., Ltd. is a joint venture established by Xiamen Xiangye Group (a large municipal state-owned enterprise) and the Civil Aviation Administration of Xizang Autonomous Region. It is a modern food production and operation enterprise in the autonomous region, integrating air catering, aircraft services, food processing, and catering services, specializing in the operation of air food catering business. The company is located within Lhasa International Airport and boasts a 15,000-square-meter production facility. It primarily provides in-flight catering services to multiple domestic airlines, serving over 10,000 meals daily. The company's operations encompass aviation catering, processing of highland barley and yak meat products, OEM processing, as well as the production and sales of Western-style pastries and tourist food. The company has obtained certifications from food quality and safety systems such as ISO9000, ISO22000, and QS. In March 2024, the company invested 130 million yuan to establish a new central kitchen, which has been officially put into use. It stands as a uniquely large-scale modern state-owned enterprise in the Xizang Autonomous Region.",
"Guangxi Dongfang Huayin Biotechnology Co., Ltd.",Chinese Mainland,,,Manufacturer,Water,"The company is a leading jasmine deep processing enterprise located in Hengzhou, Guangxi (the world's jasmine capital). It specializes in high-end plant beverages under the ""Guì"" brand, with its core product being jasmine flower water.",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A3H?fairCode=hkfoodexpo&locale=en,,
"Guangxi Five Fortune Food Co., LTD",Chinese Mainland,,,Manufacturer,"Functional Food, Organic Food & Beverage, Functional Food, Organic Food & Beverage",NATURELAB PASSION FRUIT FLAVOR Passion Fruit Probiotic Enzyme Noni Fruit Probiotic Enzyme Luo Han Guo Natural Fermented Drinks ENZYME KING SOBER BUDDY PEPTIDE DRINKS Ginseng Peptide Enzyme Enzyme Pickled Mustard Greens,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A2K?fairCode=hkfoodexpo&locale=en,,
"Guangxi Jiangnan Wanli Technology Co., Ltd.",Chinese Mainland,,,Manufacturer,Fruit,Manghappy Frozen Mango red pitaya Red Fuji apple honey peach passion fruit Huangguan Pear,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A4E?fairCode=hkfoodexpo&locale=en,,
"Guangxi Luobawang Brand Management Co., Ltd.",Chinese Mainland,,,Manufacturer,Instant Food,Luosifen series Rice Noodles With Fat Sauce Series,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A9Z?fairCode=hkfoodexpo&locale=en,,
"Guangxi Rongshui Yuanbao Mountain Miao Run Characteristic Liquor Co., Ltd.",Chinese Mainland,,,Manufacturer,Rice,Purple-Black Aromatic Glutinous Rice Tea Purple-Black Fragrant Glutinous Rice Purple-Black Fragrant Rice Organic Black Glutinous Rice Wine,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065AAW?fairCode=hkfoodexpo&locale=en,,
"Guangxi Wuzhou Tea Boat Ancient Road Chen Tea Co., Ltd.",Chinese Mainland,,,Manufacturer,Tea,LIUBAO TEA,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A82?fairCode=hkfoodexpo&locale=en,,
"Guangxi Wuzhou Tianmijia Bee lndustry Co.,Ltd",Chinese Mainland,,,Manufacturer,"Organic Food & Beverage, Organic Food & Beverage",Honey/Mizhidao Honey Water,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065A75?fairCode=hkfoodexpo&locale=en,,
"Guangxi Xingye County Mingyun Tea Co., Ltd.",Chinese Mainland,,,Manufacturer,Tea,Mingyun Yunding Mountain White Tea Small Square Pieces / Eco Orange · White Peony Gift Box / White Tea Mini Round Cake / Pindu Chama (Traditional Craft) / Mingyun Black Tea / Ethnic Gift Box (Nixing Pottery),,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065C73?fairCode=hkfoodexpo&locale=en,,
"Guilin Wansi Ruyi Trading Co., Ltd.",Chinese Mainland,,,Manufacturer,Vegetable,Authentic Lipu taro Lipo water chestnut Guangxi Intangible Cultural Heritage Black Glutinous Rice Wine,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065AI8?fairCode=hkfoodexpo&locale=en,,
Hami City Xinnongge Agricultural Products Farmers' Professional Cooperative,Chinese Mainland,,,Buying Cooperative,"Cheese, Candy, Fruit Juice, Snack, Cheese, Candy, Fruit Juice, Snack","Cultivation, purchasing, processing, sales and storage of primary agricultural products; Plantation management; Procurement of required production materials for members; Provision of mechanized agricultural operation services, construction of farm",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S006526G?fairCode=hkfoodexpo&locale=en,,
"Hengyang County Shiheling Green Food Co.,Ltd.",Chinese Mainland,,,"Manufacturer, Retailer, Wholesaler","Vegetable, Instant Food, Dried & Preserved Food",柴火烟笋.糯米笋.香笋，批发,"荷石,石荷岭",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S00660N3?fairCode=hkfoodexpo&locale=en,,
Hu Nan Lao Yi Dui Tea Company Limited,Chinese Mainland    |    Factory in Chinese Mainland,,,"Exporter, Manufacturer",Tea,"Mangshan Black Tea comes from the Mangshan area amid China's primeval forests. Grown in an eco-friendly way, it is certified as China Green Food. The tea presents rich floral and fruity aromas, has won numerous national gold awards.","莽山紅,湖莽壹號",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo 2026,,,N/A,https://www.hktdc.com/event/hkfoodexpo/en/exhibitor/1S0065OIU?fairCode=hkfoodexpo&locale=en,"Hunan Laoyidui Tea Co., Ltd. is a featured agricultural enterprise introduced by Yizhang County. It operates a modern agricultural industrial demonstration park integrating seedling cultivation, tea planting, processing, sales and leisure tourism. With a total investment of 200 million yuan, the company is recognized as a Leading Enterprise of Agricultural Industrialization in Hunan Province and a Characteristic Agricultural (Black Tea) Industrial Park of Hunan Province. It is also a key industrial poverty alleviation project in the province, which has assisted 1,171 poor households and 6,710 impoverished people through industrial development.",
