company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,,Booth: 5C-A08   |   Convenient & Instant Food   |   Korea (aT-Head),Certificates,Other Certificates,"Booth: 5C-B31   |   Health, Green & Organic Food   |   ",Booth: 5E-D06   |   Convenient & Instant Food   |   ,"Booth: 5E-E17   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-E20   |   Bakery Products   |   Chinese Mainland (Zhejiang),Booth: 5C-C26   |   Sauces & Seasonings   |   Chinese Mainland (Sichuan Supplier),"Booth: 5C-C02   |   Biscuits, Snacks & Confectionery   |   Chinese Mainland (Sichuan)","Booth: 5E-E22   |   Canned, Frozen & Processed Food   |   ","Booth: 5E-E09   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-C22   |   Halal Food & Beverage   |   Chinese Mainland (Sichuan Supplier)
LF Food Corp.,"Korea, Republic Of    |    Factory in Korea, Republic Of","LF FOOD is a leading Korean food company specializing in premium frozen foods and Korean HMR products. Our portfolio includes frozen ready meals, rice noodles, noodle products, soups, sauces and authentic Korean foods under well-established brands. We export to various international markets and continuously develop high-quality products tailored to global consumers while maintaining strict quality and food safety standards.","Exporter, Manufacturer","Frozen Food, Instant Noodle, Rice Noodle, Instant Food, Frozen Food, Instant Noodle, Rice Noodle, Instant Food","Premium Korean frozen foods including HMR, rice noodles, frozen snacks, soups, sauces and ready-to-cook meals designed for global retail and foodservice markets.","OBM, OEM","HANBAN,HAKOYA,COOKSEE",www.lffood.co.kr/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/LF-FOOD-CORP-/1S00PD8NV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GFB?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Magna Wave Sdn Bhd,Malaysia    |    Factory in Malaysia,"Magna Wave Sdn Bhd is a fishing industry major Dried Seafood, Specializing in the manufacturing dried seafood and frozen seafood bringing your fresh, flavoursome and high-quality food directly from the source.","Exporter, Manufacturer","Frozen Seafood, Fresh Seafood, Dried & Preserved Food, Frozen Seafood, Dried Seafood","Premium ingredients, superior quality, global taste Seafood",OBM,naafee,www.magnawave.com.my,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Magna-Wave-Sdn-Bhd/1S00PEF3C?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066U20?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Maumiga Company Limited,"Korea, Republic Of",,Manufacturer,"Dessert, Dessert","We are a manufacturer of frozen rice cake desserts based in South Korea. We currently export to 12 countries, and our main products include honey rice cakes and cream rice cakes. Our products are currently sold at Costco in South Korea.",Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maumiga-limited-company/1S00PD4HH?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GDH?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Ming Trading Co., Ltd",Thailand    |    Factory in Thailand,"The community products engage in organic farming using local resources such as black sesame , rice and others , while also protecting the environment. This approach helps increase income for people in the community.",Manufacturer,Organic Food & Beverage,"Pure Natural Sesame Oil , Ingredients : Black seed 100% Pure Natural Rice Bran Oil , Ingredients : Rice Bran 100% GABA Rive Powder Ingredients : Brown rice germ 100% My concept Pure Natural",OEM,MING,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ming-Trading-Co-Ltd/1S00PDRHU?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065FZO?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Ningxia Quantong Goji Berry Supply Chain Management Co., Ltd",Chinese Mainland,,Manufacturer,"Organic Food & Beverage, Health Supplement, Organic Food & Beverage, Health Supplement",goji,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningxia-Quantong-Goji-Berry-Supply-Chain-Management-Co-Ltd/1S00PE9U9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066I8U?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Ningxia Source Town Wolfberry Industry Development Co., Ltd",Chinese Mainland,,"Exporter, Manufacturer","Organic Food & Beverage, Health Supplement, Organic Food & Beverage, Health Supplement",goji,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningxia-Source-Town-Wolfberry-Industry-Development-Co-Ltd/1S00PE9RI?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066I46?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Nu Xiao Ka Cultural And Tourism Company,Chinese Mainland,,Retailer,"Trade Associations & Government Organisations, Coffee",怒江怒小咖文旅有限责任公司由泸水市农文旅集团全资控股，属市属国有企业，注册资本一千万元，亦是沪滇协作标杆企业。公司依托怒江生态、民族文化与高海拔咖啡资源，深耕咖旅融合、农文旅一体化赛道。企业构建从种子到杯子精品咖啡全产业链，布局种苗培育、种植加工、品牌运营、文创开发等业务，打造怒小咖本土咖啡品牌，产品远销上海、昆明等地。公司创新 咖啡加文旅模式，布设多处咖啡体验网点，串联怒江各大文旅节点，打造全域咖旅廊道。,OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nu-Xiao-Ka-Cultural-And-Tourism-Company/1S00PEAU8?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066K51?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Oceans Global Co., Ltd.","Korea, Republic Of",,"Importer, Wholesaler, Exporter, Distributor","Sauce, Frozen Food, Dried Seafood, Rice, Seasoning, Instant Food, Coffee, Fruit Juice, Sauce, Frozen Food, Dried Seafood, Rice, Seasoning, Instant Food, Coffee, Fruit Juice",Oceans Global is Korean food sourcing and supply company that works with production partners in 23 countries to ensure a stable supply of high-quality products.,"OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oceans-Global-Co-Ltd-/1S00PD54J?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G9T?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Omadeng Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","Our company is a premium Korean snack franchise specializing in rice cake, fish cake, and related products, currently operating over 100 franchise stores in Korea. By emphasizing high-quality ingredients and a healthy brand image, we have gained strong popularity as a trusted and safe food brand among consumers.","Chain Store, Export Agent, Manufacturer, Exporter","Frozen Food, Frozen Food","An HMR version of our No.1 best-selling menu item, Boneless Jjuggle. Made as skewered fish cake using our most satisfying extra-large square fish cake, with an easy broth pack included—ideal for snacks, camping, and more.","OEM, Others",omadeng,www.omadeng.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Omadeng-Co-Ltd-/1S00PDRXI?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065H47?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"One's International Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","One's International Co., Ltd. is a Korea-based food trading and export company specializing in Korean food products for global retail and food service markets. Under its flagship brand KBROS, the company offers a wide range of Korean food products including shelf-stable rice bowls, cup tteokbokki, cup rabokki, kimchi, sauces, seaweed products, noodles and frozen Korean snacks. KBROS is dedicated to delivering convenient, authentic and high-quality Korean food products to consumers around the world. We work closely with leading Korean manufacturers to develop products tailored to overseas markets and provide flexible OEM, ODM and private label solutions. Our products are supplied through importers, distributors, supermarkets, convenience stores, membership clubs and food service channels in various international markets. One's International is committed to building long-term partnerships by offering authentic Korean flavors, innovative food solutions and reliable supply chain services worldwide.","Manufacturer, Exporter","Soft Drink, Noodle, Sauce, Instant Food, Soft Drink, Noodle, Sauce, Instant Food","Shelf-stable Korean rice bowls, cup tteokbokki, cup rabokki, kimchi, sauces, seaweed products and frozen Korean snacks. OEM, ODM and private label manufacturing services available for global retail, food service and distribution channels.","ODM, OBM, OEM",KBROS,www.onesintl.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/One-s-International-Co-Ltd-/1S00PDRNC?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GJZ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Protinos Foods Co., Ltd.",Thailand    |    Factory in Thailand,"Protinos Foods Co., Ltd. is a Thailand-based company established in 2025, specializing in the development and distribution of alternative protein and health-focused food products. The company leverages enzyme and hydrocolloid technologies to create innovative high-protein foods. Its flagship product, Protinos Noodle, delivers high protein along with branched-chain amino acids (BCAAs), supporting muscle building and recovery. The product is suitable for health-conscious consumers, active individuals, athletes, children, and elderly individuals with chewing difficulties. The company operates under internationally recognized standards, including GHP, HACCP, FSSC 22000, ISO 22000, and HALAL certification.","Retailer, Manufacturer","Instant Noodle, Noodle",PROTINOS is a high-protein functional dried noodle developed from advanced food research to meet the needs of consumers seeking alternative protein sources for muscle building and maintenance while enjoying diverse meal options.,OBM,PROTINOS,-,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Protinos-Foods-Company-Limited/1S00PCS9H?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066GMQ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Rds Juta Food Industries Sdn Bhd,Malaysia    |    Factory in Malaysia,,"Trade/Industrial Organisation, Exporter","Snack, Frozen Seafood, Frozen Meat, Snack, Frozen Seafood, Frozen Meat",WE ARE FOOD MANUFACTURER HALAL FROZEN FOOD (DIM SUM) & SNACKS FROM SABAH MALAYSIA. WE ARE CERTIFIED WITH HALAL CERTIFICATE FROM OUR MALAYSIA GORVERMENT.,"OEM, Others",RDS JUTA FOOD,dimsumrdssbh.mystrkingly.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/RDS-JUTA-FOOD-INDUSTRIES-SDN-BHD/1S00PEENP?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066RYF?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"S.M. Agri & Fisheries Co., Ltd","Korea, Republic Of    |    Factory in Korea, Republic Of","We are a Korean manufacturer and exporter specializing in seasoned almonds in Halal certificated, mixed nuts, and various snack products such as Seaweed snack and rice cracker. We are currently supplying products to multiple overseas markets and are able to develop products and packaging formats tailored to local market trends. Considering your market experience and distribution network, we would like to explore the possibility of export and supply cooperation with your company.","Manufacturer, Exporter","Snack, Snack","The First Halal-Certified Seasoned Almonds in Korea created so that consumers everywhere can enjoy with complete peace of mind. With rigorous and systematic quality standards, our almonds are a choice you can trust.","OEM, ODM",HARU Nuts Holic,en.sunnuts.co.kr/?redirect=no,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-M-AGRI-FISHEREIS-CO-LTD-/1S00PD81P?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GOK?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"S.R.Product Interfood., Ltd",Thailand,,"Exporter, Wholesaler","Instant Food, Dried Seafood, Halal Food Processing","FRANGO specializes in innovative snack products, including crispy fish sheets, high-protein chicken breast snacks, crispy chicken skin, and vacuum-fried banana pops. Designed to meet global demand for tasty and convenient snacks.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/S-R-Product-Interfood-Ltd/1S00PE81P?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066GNN?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
SAMDAWON,"Korea, Republic Of    |    Factory in Korea, Republic Of","Founded on a multi-generational heritage of traditional wellness, Samdawon is a premium health food manufacturer specializing in the direct cultivation and scientific processing of wild-simulated ginseng. Operating its own dedicated organic farms in the pristine mountains, the company strictly manages the entire lifecycle of its ingredients to ensure the highest purity and potency. Combining time-honored traditional remedies with modern food technology and rigorous regulatory compliance, Samdawon crafts premium functional foods, including its signature herbal supplement line. Dedicated to bringing the balance of nature to modern lifestyles, Samdawon positions itself as a trusted partner for global premium retail, wellness hospitality, and VIP gift markets.",Manufacturer,"Health Food, Health Food","A premier Korean wellness brand offering authentic herbal supplements. Rooted in traditional expertise, we sustainably cultivate high-quality wild-simulated ginseng to craft premium functional foods tailored for global high-end retail markets.",OBM,"Samdawon,Chang M,S Family’s Korean Wild Ginseng",samdawon.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SAMDAWON/1S00PDRYF?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065H7Y?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Samjin Corporation,"Korea, Republic Of",,"Wholesaler, Retailer","Chocolate, Snack, Chocolate, Snack, Chocolate, Snack, Chocolate, Snack, Chocolate, Snack","Samjin’s signature chocolate bar, the X-5, is winning hearts not only in Korea but also in countries like China and Vietnam. This bar delivers the perfect balance of crunchiness, softness, and sweetness in every bite.","OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo 2013,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Samjin-Corporation/1S00PDRO9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GLT?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Sempio Foods Company,"Korea, Republic Of    |    Factory in Korea, Republic Of","Sempio Foods Company is Korea's leading fermented food manufacturer with over 79 years of heritage. Sempio offers a wide range of products including soy sauce, gochujang, doenjang, sauces, meal solutions, and plant-based seasoning products. As the No.1 soy sauce brand in Korea, Sempio exports to more than 70 countries worldwide and continues to provide innovative and authentic Korean food solutions for consumers and foodservice professionals.","Manufacturer, Exporter","Canned Food, Sauce, Noodle, Seasoning, Frozen Food, Instant Noodle, Organic Food & Beverage, Instant Food, Canned Food, Sauce, Noodle, Seasoning, Frozen Food, Instant Noodle, Organic Food & Beverage, Instant Food","Authentic Korean fermented food products including soy sauce, gochujang, plant-based umami seasoning, pasta sauces, and innovative meal solutions for retail and foodservice markets.","OEM, ODM","SEMPIO,YONDU,FONTANA",globalsempio.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SEMPIO-FOODS-COMPANY/1S00PD7GH?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GEE?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shangri-La Winery Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Liquor / Fortified Wine, Table Wine","A deep, gem-like red, bright and clear, with a mature, well-balanced character. Fruity aromas of blackberry and black cherry intertwine with ripe notes of vanilla and other spices, creating a rich and distinctive bouquet.",OBM,"SHANGRI-LA SACRED LAND,SHANGRI-LA ALTIWINE 2600 DRY RED WINE,SHANGRI-LA ALTIWINE 2600 MERLOT DRY RED WINE,SHANGRI-LA ALTIWINE 2600 SYRAN DRY RED WINE ,SHANGRI-LA ALTIWINE 2600 DRY WHITE WINE ,SHANGRI-LA ALTIWINE 1800 DRY WHITE WINE,SHANGRI-LA Vidal Noble Rot Wine,SHANGRI-LA Qingke Barley Whisky 2800,SHANGRI-LA ALTIWINE 1800 DRY RED WINE,SHANGRI-LA SACRED LAND LEGEND",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shangri-La-Winery-Co-Ltd-/1S00PE30X?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006632R?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Shangri-la Highland Craft Brewery Co., Ltd.",Chinese Mainland,,Manufacturer,"Trade Associations & Government Organisations, Beer","Product Positioning: Targeting the mid-to-high-end craft beer market, the company has developed six distinctive craft beer products in glass bottlesSuoyala, Songga, Tibetan Ale, Black Yak, Fat Dolma, and Bergamotalongside three canned varieties and","ODM, Others, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shangri-la-Highland-Craft-Brewery-Co-Ltd-/1S00PDXA9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006631U?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
ShinSung Biopharm Inc.,"Korea, Republic Of","ShinSung Biopharm Inc. is a specialized biomaterials company engaged in the development and commercialization of natural product-based food and cosmetic materials. Its core platforms consist of marine-derived ingredients (salmon collagen) and green bio natural products (mushrooms, probiotics). - Purpose of Establishment: Development and global expansion of functional health and beauty products using naturally derived materials - Core Competencies: Extraction and purification of natural ingredients, customized formulation, and product commercialization - Vision: Leading the global clean beauty and inner beauty markets - Customer Value: An optimal balance of reliability, safety, and functionality",Manufacturer,"Halal Food Processing, Halal Food Processing",Saudeep Hot Sauce is a premium Korean-style spicy sauce developed by ShinSung Biopharm Inc. It is a differentiated hot sauce that fuses functional ingredients with the traditional spicy flavors of Korean cuisine. It is a flagship SKU representing,OBM,,http://shinsunglab.co.kr/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ShinSung-Biopharm-Inc-/1S00PDQTV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EDJ?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Sigolkim Co., Ltd.","Korea, Republic Of",,"Manufacturer, Exporter","Organic Food & Beverage, Snack, Organic Food & Beverage, Snack, Organic Food & Beverage, Snack",seaweed snack Roasted seaweed Seasoned Seaweed Dried seaweed,"OBM, OEM",SIGOLKIM,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sigolkim-Co-Ltd-/1S00PDRWL?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065H1G?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Skinny Meal,Brunei Darussalam    |    Factory in Brunei Darussalam,"Skinny Meal is a Brunei-based manufacturer specializing in healthy supplment drinks made from natural ingredients, with no added sugar or preservatives. Skinny Meal Root Juice is widely available in major supermarkets throughout Brunei. We have successfully exported our products to Singapore and Malaysia.",Manufacturer,"Fruit Juice, Fruit Juice","Skinny Meal Root Juice are premium functional health beverages made with selected natural roots, herbs, formulated without sugar, using dates and Luohan Guo as sweetener. Produced using retort technology, juice are ambient with 2 years shel life",OBM,"Turmeric Dates Root Juice,Red Ginger Root Juice,Rapet Wangi Manjakani Root Juice,Kuat Lelaki Tongkat Ali Root Juice,Collagen Peach Gum",skinnymeal.brunei,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Skinny-Meal/1S00PD6V9?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065G48?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Star Herb Pharma Co Ltd,Thailand    |    Factory in Thailand,"We are a proudly Thai-owned manufacturer, founded by a pharmacist who is also a respected lecturer and speaker in top universities, specializing in product development and R&D. Our innovations are patented and officially enlisted in Thailand's National Innovation List , Official Thai Exporter List , proudly supported by leading government agencies as standout examples of Thai ingenuity. OEM/Private Label services are also available for brands seeking distinctive with endless ideas and cutting-edge expertise. We believe wellness should be world-class, innovative, and still affordable for everyone.","Wholesaler, Exporter, Manufacturer","Organic Food & Beverage, Health Supplement, Tea","World's First Spicy Coffee , World's First Thai Fruit Probiotics ( Durian Monthong ,Mango Nam Dok Mai , Young Coconut ) , Collagen , Thai Tea ,Matcha , Boba Tea , Functional Beverage , Fiber Detox ,Herbal Supplement , Nutraceutical , OEM available",OEM,"StarBiotics,Star Herb,STARMINO,STARMAX,PRIKKA : World's First Spicy Coffee,STARELLA,Collagena,Star Cafe'",www.starherbpharma.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Star-Herb-Pharma-Co-Ltd/1S00P4EJ1?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066GOK?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Taurean Bakeshop Shop & Cafe,Brunei Darussalam    |    Factory in Brunei Darussalam,"Founded in 2016, Taurean Bakeshop is a growing bakery brand dedicated to producing unique, healthier, and high-quality baked goods, with a strong focus on cookies. We proudly offer over 50 flavors of cookies created with a wide variety of textures, sizes and packaging options to ensure there is always a perfect choice for every customer. Our cookies are crafted with care using premium ingredients such as rich butter and high-quality chocolate. We are committed to quality, which is why all our cookies contain no added preservatives. Each batch is baked with a moderate sugar level, offering a more balanced option for health-conscious customers without compromising on flavor. We also cater to different dietary needs and preferences, including egg-free, reduced-sugar, and indulgently buttery options. This allows customers to enjoy cookies that suit both their taste and lifestyle. Freshly baked with passion. Taurean Bakeshop delivers consistent quality, exceptional taste, and a memorable cookie experience in every bite. We invite you to discover what makes our cookies special and find your favorite today.",Manufacturer,"Biscuit, Dessert, Biscuit, Dessert","Our best-selling cookies oatmeal - Original, Cranberry, Cashew Nutl, Dark & Milk Chocolate, Coffee and a reduced sugar option. In addition we will showcase our classic butter and Malted chocolate butter cookies.",Others,Taurean Bakeshop,taureanbakeshop.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taurean-Bakeshop-Shop-Cafe/1S00PDN5Y?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00656ZX?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
True Delicious Corporation,"Korea, Republic Of    |    Factory in Korea, Republic Of",,Exporter,"Candy, Snack, Sauce, Dried & Preserved Food, Milk, Fruit, Dessert, Soft Drink, Instant Food, Vegetable, Tea, Frozen Fruit, Fruit Juice, Biscuit, Chocolate, Frozen Food, Dried Fruit & Vegetable, Ice Cream, Frozen Vegetable, Seasoning, Candy, Snack, Sauce, Dried & Preserved Food, Milk, Fruit, Dessert, Soft Drink, Instant Food, Vegetable, Tea, Frozen Fruit, Fruit Juice, Biscuit, Chocolate, Frozen Food, Dried Fruit & Vegetable, Ice Cream, Frozen Vegetable, Seasoning",Korean fresh produce and processed food products,"OEM, Others",TRUEDEL,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/True-Delicious-Corporation/1S00ORBYV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GBN?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Unione Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","We are Halal Food Specialist in Korea since 2016. We introduce Korea's Delicious and Specialty Foods to all over the world. Also, We have our own Brand, 'MIGA' which means Deicious Kitchen. The modern-day interpretation of the traditional korean Cuisine MIGA is a global representation for everyone to enjoy",Exporter,"Snack, Instant Noodle, Biscuit, Snack, Instant Noodle, Biscuit",1. Miga Maekom Spicy Seoul Original / Carbonara 2. Miga Cup Tteokbokki Original / Cheese / Rose / Jjajang 3. Miga Mini Yakgwa 4. Miga Joa Gim Jaban (seaweed flake) 5. Miga Tea Bag (Corn Silk Tea / Brown Rice Green Tea / Barley Tea),OEM,MIGA,unionekr.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/UNIONE-CO-LTD-/1S00OCI8U?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065GQE?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"WandoAbalone Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","Wando Abalone Co Ltd is located in Wando, which produces approximately 80 percent of Korea abalone. The company was established with the participation of 1200 abalone farmers and Wando County, making it a leading company in Korea abalone industry. We specialize in the distribution, processing, and export of premium live abalone and various abalone products. Through close cooperation with local producers, we provide fresh, safe, and high quality products to customers around the world. Our company operates one of the largest abalone processing facilities in Korea and produces a wide range of products, including live abalone, frozen abalone, canned abalone, abalone porridge, and abalone seaweed soup. In 2015, we received the Grand Prize at the Seafood Brand Competition hosted by the Ministry of Oceans and Fisheries. We maintain high standards of quality and food safety through internationally recognized certifications, including ASC CoC, HACCP, ISO 22000, and K FISH. Our goal is to introduce the excellence of Wando abalone and deliver premium Korean seafood products to global consumers.",Manufacturer,"Frozen Seafood, Canned Food, Frozen Seafood, Canned Food","We provide premium abalone products from Wando, Korea, including frozen abalone, abalone porridge, and canned abalone. Made from high-quality abalone, our products offer convenience, freshness, and customized specifications for global markets.","ODM, OBM, OEM",,www.wakoreaglobal.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/WandoAbalone-Co-Ltd-/1S00PD5OV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065H2D?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
